Team	Player	SH	SG	GL
HAI	Robenson Laguerre	29	15	3
GUA	Domingo Ordonez	14	7	2
NIC	Fernando Reyes	11	3	1
ELS	Ricardo Mejia	11	7	2
CUB	Enrique Blanco	13	5	1
DMR	Vicente Tavarez	31	16	8
BLZ	Peter Ramirez	21	5	2
JAM	John Edwards	20	4	0
BAH	Chris Rolle	14	7	1
BAR	Nigel Clarke	13	5	1
SLC	Richard Gustave	14	4	1
GRE	Lars Heilmann	17	8	1
BRZ	Marcelo da Silva	9	1	0
ARG	Pedro Flores	11	4	2
URU	Ramon Perdomo	10	5	1
COL	Edgar Jimenez	18	4	1
USA	Casey Myers-Morgan	11	3	1
MEX	Carlos Torres	19	7	5
CHI	Patricio Torres	14	8	2
ECU	Jorge Molina	14	2	0
CRC	Jorge Quesada	13	5	1
PAN	Edwin Lopez	13	4	0
TNT	Adrian Johnson	23	6	1
PAR	Hugo Villalba	16	5	2
BOL	Juan Apaza	8	2	0
PER	Enrique Aguilar	12	6	1
VEN	Pablo Rivero	16	3	2
CAN	Marc Tremblay	19	8	2
HON	Manuel Amador	14	7	1
PRC	Roberto Colon	9	3	0
HAI	James Delva	16	9	2
GUA	Vicente Mendez	10	4	2
NIC	Orlando Centeno	13	4	1
ELS	Elmer Campos	12	8	3
CUB	Ramos Marrero	21	9	2
DMR	Rafael Tejeda	12	7	1
BLZ	Antonio Martinez	15	7	1
JAM	Patrick Miller	10	2	1
BAH	Jean Roberts	13	5	2
BAR	Clyde Gittens	7	5	1
SLC	Ignatius Williams	11	3	1
GRE	Isak Kristiansen	12	5	2
BRZ	Rodrigo de Jesus	5	1	1
ARG	Juan Acosta	3	2	1
URU	Nestor Moreira	6	5	1
COL	Andres Rodriguez	6	0	0
USA	Brandon Boyd	8	3	1
MEX	Cesar Romero	19	8	2
CHI	Jaime Riquelme	7	3	0
ECU	David Chavez	4	1	1
CRC	Juan Araya	1	0	0
PAN	Miguel Ortega	8	3	0
TNT	Nicholas Persad	8	4	0
PAR	Ramon Medina	10	5	0
BOL	Eduardo Vaca	3	1	1
PER	Jose Quispe	9	4	3
VEN	Javier Medina	4	1	0
CAN	Pierre Gagnon	8	2	1
HON	Marlon Padilla	5	5	3
PRC	Juan Narvaez	10	5	2
HAI	Frantz Germaine	6	3	1
GUA	Tomas Morales	9	2	0
NIC	Ernesto Jarquin	9	2	0
ELS	Mauricio Argueta	4	1	1
CUB	Armando Dominguez	3	0	0
DMR	Tomas Batista	5	1	1
BLZ	Wayne Vasquez	4	0	0
JAM	Winston Powell	11	4	2
BAH	Andrew Pinder	4	1	1
BAR	Colin Brathwaite	4	1	0
SLC	Robert Mathurin	7	2	1
GRE	Otto Lyberth	4	3	3
BRZ	Carlos Vieira	5	1	1
ARG	Oscar Gonzalez	8	5	1
URU	Gonzalo Machado	3	1	0
COL	Javier Giraldo	10	6	3
USA	Antonio Chavez	2	1	1
MEX	Jaime Hernandez	4	0	0
CHI	Hector Alvarez	13	3	0
ECU	Carlos Mendoza	3	2	0
CRC	Manuel Castro	3	1	0
PAN	Alberto Diaz	5	2	2
TNT	Francis Baptiste	4	2	1
PAR	Felix Cardozo	15	6	3
BOL	Edwin Torrez	7	2	1
PER	Javier Gonzales	6	3	2
VEN	Felix Rodriguez	4	2	0
CAN	Jacques Lavoie	5	2	1
HON	Ramon Bonilla	3	0	0
PRC	Josue Pagan	12	4	0
HAI	Evens Moise	3	1	0
GUA	Felipe Juarez	3	2	0
NIC	Jaime Chavarria	3	1	0
ELS	Raul Orellana	8	6	3
CUB	Gustavo Vega	7	2	1
DMR	Lorenzo Marte	6	4	2
BLZ	Julio Sanchez	3	0	0
JAM	William Gayle	10	4	2
BAH	Arthur Bethel	4	2	1
BAR	Rodney Harewood	9	6	1
SLC	Titus Augustin	9	2	1
GRE	Jorgen Egede	4	0	0
	
Team	Player	SV	SO	GA
BRZ	Jose Lopes	21	35	14
ARG	Luis Aguirre	27	34	7
URU	Ricardo de Los Santos	38	50	12
COL	German Arias	26	35	9
USA	Bailey Myers-Morgan	29	32	3
MEX	Sergio Gutierrez	32	42	10
CHI	Mauricio Fuentes	31	43	12
ECU	Vicente Salazar	33	43	10
CRC	Mario Morales	29	38	9
PAN	Javier Guerra	17	24	7
TNT	Dexter Edwards	21	36	15
PAR	Alcides Cabrera	19	33	14
BOL	Victor Choque	38	57	19
PER	Luis Huaman	23	38	15
VEN	Edgar Rojas	32	48	16
CAN	Tim Moore	31	46	15
HON	Wilmer Paz	31	44	13
PRC	Jorge Canales	22	31	9
HAI	Marc Sanon	23	44	21
GUA	Hugo Pop	25	33	8
NIC	Marvin Castillo	32	48	16
ELS	Nelson Portillo	33	52	19
CUB	Ruben Levya	36	45	9
DMR	Maximo Ventura	35	45	10
BLZ	Gilberto Cruz	28	43	15
JAM	Cecil Brown	34	46	12
BAH	Patrick Sands	31	45	14
BAR	Patrick Boyce	34	43	9
SLC	Cyril Hippolyte	30	42	12
GRE	Ole Lynge	32	52	20
