Position	Name	Country	Shooting	Speed	Defense	Goalkeeping	Overall	Rank	Region	Age
DEF	Laba Ayité	Togo	23	36	34	0	33.17693333	128	International	37
DEF	Carlos Mendoza	Ecuador	31	35	32	0	33.15683333	129	International	33
DEF	Lorenzo Marte	Dominican Republic	21	43	30	0	33.13763333	130	America	34
DEF	Slobodan Krstic	Serbia	26	22	42	0	33.08886667	131	Europe	26
DEF	Gerhard Bauer	Austria	22	30	38	0	33.04966667	132	Europe	27
DEF	Juan Acosta	Argentina	27	29	37	0	33.03956667	133	International	29
DEF	Savvas Constantinou	Cyprus	22	33	36	0	33.02996667	134	Mediterranean	28
DEF	Edwin Torrez	Bolivia	26	20	43	0	32.932	135	International	31
DEF	Marcelo Majer	Croatia	23	26	40	0	32.9026	136	Mediterranean	28
DEF	Karl Meier	Germany	28	40	29	0	32.794	137	Prime	32
DEF	Marcel Verhoeven	Belgium	33	39	28	0	32.7839	138	Prime	37
DEF	Esteban Maidana	Argentina	27	25	39	0	32.72583333	139	International	28
DEF	Salaah Al-Yahyaei	Oman	23	30	37	0	32.70633333	140	Mediterranean	29
DEF	Viktor Morozov	Russia	31	26	37	0	32.70593333	141	Europe	26
DEF	Brandon Boyd	United States	26	33	34	0	32.67663333	142	America	31
DEF	Ernest Nuamah	Ghana	28	32	34	0	32.67653333	143	International	29
DEF	Simon Samatta	Tanzania	21	37	33	0	32.66703333	144	International	24
DEF	Rustam Panshanbe	Tajikistan	27	34	33	0	32.66673333	145	International	22
DEF	Ramon Bonilla	Honduras	22	38	32	0	32.65713333	146	America	30
DEF	Zlatko Novak	Croatia	24	23	41	0	32.57896667	147	Mediterranean	29
DEF	Ladislav Kovac	Slovakia	23	25	40	0	32.56916667	148	Europe	25
DEF	Dimitrios Papadopoulos	Greece	29	25	38	0	32.54916667	149	Mediterranean	31
DEF	Murray Campbell	New Zealand	24	30	36	0	32.363	150	International	25
DEF	Claude Timmermans	Belgium	23	32	35	0	32.3532	151	Prime	27
DEF	Gideon Seidu	Ghana	25	40	29	0	32.294	152	International	24
DEF	Benoit Rousseau	France	26	41	28	0	32.2841	153	Prime	24
DEF	Declan Burke	Ireland	25	20	42	0	32.25533333	154	Prime	26
DEF	Vu Hung Dung	Vietnam	26	21	41	0	32.24543333	155	International	32
DEF	Hiroshi Itakura	Japan	36	45	22	0	32.2245	156	International	30
DEF	Marko Bosnjak	Bosnia and Herzegovina	20	33	35	0	32.18663333	157	Europe	28
DEF	Veselin Ivanov	Bulgaria	21	34	34	0	32.17673333	158	Europe	31
DEF	Shabaib Al-Dhefiri	Kuwait	21	37	32	0	32.15703333	159	Mediterranean	27
DEF	Terence Kane	Northern Ireland	23	36	32	0	32.15693333	160	Prime	25
DEF	Faisal Almarri	Qatar	25	21	41	0	32.07876667	161	Mediterranean	33
DEF	Jean-Philippe Saïko	New Caledonia	21	26	39	0	32.05926667	162	International	31
DEF	Vasile Cazacu	Moldova	23	28	37	0	32.03946667	163	Europe	29
DEF	Junya Ito	Japan	25	27	37	0	32.03936667	164	International	22
DEF	Gustavo Vega	Cuba	27	26	37	0	32.03926667	165	America	33
DEF	Ammar Sabbag	Syria	28	30	34	0	32.00966667	166	Mediterranean	25
DEF	Ebrahim Al-Aswad	Bahrain	25	33	33	0	31.99996667	167	Mediterranean	23
DEF	Manaraii Wagemann	Tahiti	25	42	27	0	31.94086667	168	International	34
DEF	Ramon Medina	Paraguay	33	38	27	0	31.94046667	169	International	30
DEF	Ahmed Salah	Egypt	22	22	41	0	31.9122	170	Mediterranean	31
DEF	Young-gwon Hwang	South Korea	22	48	24	0	31.91146667	171	International	28
DEF	Joe Waine	New Zealand	21	33	34	0	31.8433	172	International	27
DEF	Kairat Kichin	Kyrgyzstan	25	31	34	0	31.8431	173	Europe	29
DEF	Denis Kizito	Uganda	25	37	30	0	31.8037	174	International	29
DEF	Geert Verhoeven	Belgium	33	25	35	0	31.68583333	175	Prime	27
DEF	Paweł Bednarek	Poland	31	35	29	0	31.62683333	176	Europe	29
DEF	Victor-Manuel Aguilar	Spain	0	26	45	0	31.61926667	177	Mediterranean	35
DEF	Andritany Dimas	Indonesia	23	25	38	0	31.54916667	178	International	23
DEF	Milan Mitrovic	Montenegro	20	28	37	0	31.53946667	179	Mediterranean	32
DEF	Arni Olafsson	Iceland	22	27	37	0	31.53936667	180	Europe	26
DEF	Marcos Paz	Argentina	21	29	36	0	31.52956667	181	International	36
DEF	Ernesto Cordoba	Argentina	25	30	34	0	31.50966667	182	International	34
DEF	Amer Zaid	Kuwait	22	33	33	0	31.49996667	183	Mediterranean	26
DEF	Giampiero Suriani	Vatican City	27	35	30	0	31.47016667	184	Mediterranean	25
DEF	Philip Gibson	Papua New Guinea	21	27	37	0	31.3727	185	International	26
DEF	Muaid Musrati	Libya	22	34	32	0	31.3234	186	Mediterranean	32
DEF	Brooks Hollister	United States	25	34	31	0	31.3134	187	America	28
DEF	Giorgio Chellini	Italy	27	42	25	0	31.2542	188	Mediterranean	27
DEF	Anton Zupan	Slovenia	24	45	24	0	31.2445	189	Europe	31
DEF	Pedro Dos Santos	Angola	23	21	40	0	31.23543333	190	International	30
DEF	Pedro Nsue	Equatorial Guinea	21	34	32	0	31.15673333	191	International	31
DEF	Youssouf M'Changama	Comoros	23	33	32	0	31.15663333	192	International	26
DEF	Daniel Wohlwend	Liechtenstein	28	32	31	0	31.14653333	193	Europe	29
DEF	Rafael Jimenez	Andorra	25	35	30	0	31.13683333	194	Mediterranean	31
DEF	Marcel Roth	Switzerland	30	37	27	0	31.10703333	195	Europe	33
DEF	Fernando Ribiero	Portugal	25	36	29	0	30.96026667	196	Mediterranean	27
DEF	Moses Okeke	Nigeria	28	42	24	0	30.91086667	197	International	29
DEF	Peeter Ots	Estonia	20	26	37	0	30.8726	198	Europe	30
DEF	Hugo Rosas	Mexico	25	25	36	0	30.8625	199	America	37
DEF	Harry Souttar	Australia	34	22	35	0	30.8522	200	International	30
DEF	Tomas Morales	Guatemala	23	32	32	0	30.8232	201	America	30
DEF	Jaime Chavarria	Nicaragua	33	27	32	0	30.8227	202	America	31
DEF	Carlos Vieira	Brazil	24	33	31	0	30.8133	203	International	28
DEF	Francis Baptiste	Trinidad and Tobago	29	32	30	0	30.8032	204	America	24
DEF	Hamza El Mehdi	Morocco	24	22	38	0	30.71553333	205	Mediterranean	23
DEF	Liviu Ciobanu	Romania	28	20	38	0	30.71533333	206	Europe	30
DEF	Andreas Schwarz	Austria	23	36	29	0	30.62693333	207	Europe	28
DEF	Graham Chapman	England	21	40	27	0	30.60733333	208	Prime	29
DEF	Alberto Diaz	Panama	28	38	26	0	30.59713333	209	America	30
DEF	Sullivan Gray	United States	22	24	37	0	30.53906667	210	America	33
DEF	Raul Orellana	El Salvador	21	26	36	0	30.52926667	211	America	31
DEF	Aaron Kanga	Gabon	27	26	34	0	30.50926667	212	International	29
DEF	Gunars Smirnovs	Latvia	26	28	33	0	30.49946667	213	Europe	31
DEF	Hernan Avila	Argentina	26	34	29	0	30.46006667	214	International	30
DEF	Kevin Singh	New Zealand	20	40	27	0	30.44066667	215	International	28
DEF	Yannick Bongonda	Congo DR	22	42	25	0	30.42086667	216	International	30
DEF	Rene Weis	Luxembourg	20	26	36	0	30.3626	217	Europe	28
DEF	Yao Sanogo	Cote d'Ivoire	27	30	31	0	30.313	218	International	38
DEF	Pavol Toth	Slovakia	20	35	30	0	30.3035	219	Europe	31
DEF	Iban Ovono	Equatorial Guinea	24	28	33	0	30.16613333	220	International	32
DEF	Mohamed Diakhaby	Guinea	24	31	31	0	30.14643333	221	International	34
DEF	Ioannis Andreou	Cyprus	27	34	28	0	30.11673333	222	Mediterranean	26
DEF	Ernesto Jarquin	Nicaragua	29	39	24	0	30.07723333	223	America	30
DEF	Joe Davies	Wales	27	20	37	0	30.03866667	224	Prime	33
DEF	Kenny Costa	Cabo Verde	27	23	35	0	30.01896667	225	International	28
DEF	Emmanuel Alhadji	Cameroon	22	27	34	0	30.00936667	226	International	29
DEF	Ludwig Augustinsson	Sweden	22	30	32	0	29.98966667	227	Europe	36
DEF	Tomas Batista	Dominican Republic	26	28	32	0	29.98946667	228	America	30
DEF	Andrejs Jansone	Latvia	23	34	29	0	29.96006667	229	Europe	26
DEF	Nader Matar	Lebanon	20	40	26	0	29.93066667	230	Mediterranean	28
DEF	Illia Mykolenko	Ukraine	30	35	26	0	29.93016667	231	Europe	27
DEF	Pierre Gagnon	Canada	21	44	23	0	29.90106667	232	America	24
DEF	Gagame Lea'alafa	Solomon Islands	23	26	34	0	29.8426	233	International	32
DEF	Petre Nikolov	Macedonia	25	28	32	0	29.8228	234	Europe	31
DEF	Evens Moise	Haiti	22	34	29	0	29.7934	235	America	24
DEF	Vladimir Novikov	Russia	27	33	28	0	29.7833	236	Europe	25
DEF	Manuel Castro	Costa Rica	21	22	37	0	29.70553333	237	America	26
DEF	Juan-Luis Vidal	Spain	0	37	34	0	29.67703333	238	Mediterranean	32
DEF	Oston Urunov	Uzbekistan	20	27	34	0	29.67603333	239	International	38
DEF	Enock Chama	Zambia	20	33	30	0	29.63663333	240	International	29
DEF	Arne Hagen	Norway	26	28	31	0	29.47946667	241	Europe	31
DEF	Kritsada Hemviboon	Thailand	23	35	27	0	29.2735	242	International	26
DEF	Stéphane Dossou	Benin	20	21	37	0	29.20543333	243	International	25
DEF	Ali Cherif	Tunisia	22	20	37	0	29.20533333	244	Mediterranean	29
DEF	Fredy Jaramillo	Colombia	21	25	34	0	29.17583333	245	International	37
DEF	Evgeniy Novikov	Belarus	20	27	33	0	29.16603333	246	Europe	24
DEF	William Gayle	Jamaica	26	22	34	0	29.00886667	247	America	30
DEF	Michael Okumu	Kenya	23	31	29	0	28.95976667	248	International	36
DEF	Branislav Maras	Montenegro	22	36	26	0	28.93026667	249	Mediterranean	30
DEF	Timo Ojala	Finland	34	36	22	0	28.89026667	250	Europe	35
DEF	Ramadan El Shigail	Sudan	21	30	30	0	28.803	251	Mediterranean	27
DEF	Emilio Perez	Andorra	21	22	35	0	28.68553333	252	Mediterranean	31
DEF	Jone Khan	Fiji	24	25	32	0	28.65583333	253	America	29
DEF	Wayne Vasquez	Belize	22	35	26	0	28.59683333	254	America	28
DEF	Juri Sepp	Estonia	24	40	22	0	28.55733333	255	Europe	34
DEF	Oscar Gonzalez	Argentina	28	41	20	0	28.53743333	256	International	30
DEF	Giuseppe Ceccoli	San Marino	27	23	32	0	28.48896667	257	Mediterranean	30
DEF	Javier Medina	Venezuela	30	23	31	0	28.47896667	258	International	35
DEF	Viktor Baymatov	Kyrgyzstan	28	27	29	0	28.45936667	259	Europe	35
DEF	Frederic Machand	France	23	31	28	0	28.44976667	260	Prime	32
DEF	Samuel Ngah	Cameroon	23	34	26	0	28.43006667	261	International	35
DEF	Tim Brouwer	Netherlands	21	24	33	0	28.3324	262	Prime	25
DEF	Athar Kamal	Sudan	22	31	28	0	28.2831	263	Mediterranean	32
DEF	Mohamed Tambakti	Saudi Arabia	21	39	23	0	28.2339	264	Mediterranean	28
DEF	Emile Gope-Fenepej	New Caledonia	25	37	23	0	28.2337	265	International	28
DEF	Ahmed Sabbou	Libya	27	25	30	0	28.13583333	266	Mediterranean	24
DEF	José André	Angola	22	29	29	0	28.12623333	267	International	26
DEF	Dennis Nawo	Solomon Islands	20	33	27	0	28.10663333	268	International	25
DEF	Umar Abubakar	Nigeria	26	22	32	0	27.98886667	269	International	29
DEF	Vinicius Aparecido	Brazil	22	30	28	0	27.94966667	270	International	24
DEF	Javier Piriz	Uruguay	22	30	28	0	27.94966667	271	International	31
DEF	Lyle Makgopa	South Africa	28	30	26	0	27.92966667	272	International	31
DEF	Dragan Vrdoljak	Croatia	22	22	33	0	27.8322	273	Mediterranean	32
DEF	Andrew Pinder	Bahamas	24	21	33	0	27.8321	274	America	28
DEF	Winston Powell	Jamaica	21	24	32	0	27.8224	275	America	27
DEF	Musab Cantillana	Palestine	23	26	30	0	27.8026	276	Mediterranean	27
DEF	Quincy Adler	United States	27	24	30	0	27.8024	277	America	38
DEF	Ruud Koster	Netherlands	26	26	29	0	27.7926	278	Prime	33
DEF	Omar Ham	Syria	23	29	28	0	27.7829	279	Mediterranean	35
DEF	Farès Bensebaini	Algeria	28	31	25	0	27.7531	280	Mediterranean	26
DEF	Julio Sanchez	Belize	25	34	24	0	27.7434	281	America	28
DEF	Jens Niclasen	Faroe Islands	23	38	22	0	27.7238	282	Europe	31
DEF	Zakaria Kabore	Burkina Faso	21	25	31	0	27.64583333	283	International	26
DEF	Arthur Bethel	Bahamas	27	25	29	0	27.62583333	284	America	32
DEF	Silvan Widmer	Switzerland	26	33	24	0	27.57663333	285	Europe	21
DEF	Denis Mfa Mezui	Gabon	32	33	22	0	27.55663333	286	International	29
DEF	Andrew Sene	Gibraltar	24	23	31	0	27.47896667	287	Mediterranean	26
DEF	Aguibou Guilavogui	Guinea	21	29	28	0	27.44956667	288	International	31
DEF	Cosmin Simion	Romania	29	31	24	0	27.40976667	289	Europe	22
DEF	Karim Djire	Mali	22	22	32	0	27.3222	290	International	28
DEF	Enver Rexhepi	Kosovo	20	32	26	0	27.2632	291	Europe	29
DEF	Ismaël Houbeib	Mauritania	23	21	32	0	27.15543333	292	International	28
DEF	Angelo Giulietti	Vatican City	25	20	32	0	27.15533333	293	Mediterranean	27
DEF	Hicham El-Mostafa	Morocco	25	23	30	0	27.13563333	294	Mediterranean	35
DEF	Moises Carrillo	Mexico	26	25	28	0	26.94916667	295	America	26
DEF	Lorenzo Milani	Italy	24	29	26	0	26.92956667	296	Mediterranean	30
DEF	Jorgen Egede	Greenland	30	32	22	0	26.88986667	297	America	27
DEF	Pa Marreh	The Gambia	23	37	21	0	26.88036667	298	International	28
DEF	Haidar Salman	Iraq	27	35	21	0	26.88016667	299	Mediterranean	34
DEF	Grigore Ceban	Moldova	24	21	31	0	26.8121	300	Europe	32
DEF	Marama Tehau	Tahiti	29	23	28	0	26.7823	301	International	28
DEF	Neil Reichelt	Philippines	21	39	20	0	26.7039	302	International	28
DEF	Ivo Dragicevic	Croatia	23	21	31	0	26.64543333	303	Mediterranean	32
DEF	Nathan van de Ven	Netherlands	26	24	28	0	26.61573333	304	Prime	26
DEF	Josue Pagan	Puerto Rico	38	21	26	0	26.59543333	305	America	31
DEF	Wilder Yotun	Peru	21	31	25	0	26.58643333	306	International	27
DEF	Zainadine Gaito	Mozambique	21	34	23	0	26.56673333	307	International	30
DEF	Mohamed Khalaf	Iraq	22	21	31	0	26.47876667	308	Mediterranean	29
DEF	Salah Benkirane	Morocco	22	21	31	0	26.47876667	309	Mediterranean	25
DEF	Rodney Harewood	Barbados	28	21	29	0	26.45876667	310	America	26
DEF	Tamer Hamed	Palestine	24	29	25	0	26.41956667	311	Mediterranean	29
DEF	Jaime Hernandez	Mexico	25	30	24	0	26.40966667	312	America	30
DEF	Rhys Howells	Wales	29	28	24	0	26.40946667	313	Prime	35
DEF	Godine Nini	Vanuatu	24	24	28	0	26.2824	314	International	26
DEF	Geoff Murphy	Australia	35	26	23	0	26.2326	315	International	29
DEF	Miroslav Svoboda	Czechia	26	32	22	0	26.2232	316	Europe	29
DEF	Kamal Kone	Canada	24	36	20	0	26.2036	317	America	27
DEF	Rogvi Thomsen	Faroe Islands	20	24	29	0	26.12573333	318	Europe	33
DEF	Luke Gatt	Malta	24	28	25	0	26.08613333	319	Mediterranean	26
DEF	Syed Rahman	Qatar	21	31	24	0	26.07643333	320	Mediterranean	27
DEF	Atif Omar	Saudi Arabia	23	30	24	0	26.07633333	321	Mediterranean	36
DEF	Kossi Bebou	Togo	20	33	23	0	26.06663333	322	International	37
DEF	Boubacar Adebayor	Niger	26	30	23	0	26.06633333	323	International	29
DEF	Fatmir Salihu	Kosovo	25	21	29	0	25.95876667	324	Europe	32
DEF	Denis Zaytsev	Belarus	24	23	28	0	25.94896667	325	Europe	31
DEF	Colin Campbell	Northern Ireland	24	26	26	0	25.92926667	326	Prime	30
DEF	Timur Rakhimov	Uzbekistan	28	24	26	0	25.92906667	327	International	28
DEF	Seyyed Ghasemi	Iran	34	21	26	0	25.92876667	328	Mediterranean	25
DEF	Titus Augustin	Saint Lucia	29	20	28	0	25.782	329	America	32
DEF	Mohammed El-Idrissi	Morocco	30	21	27	0	25.7721	330	Mediterranean	29
DEF	Salaah Al-Yahmadi	Oman	27	24	26	0	25.7624	331	Mediterranean	27
DEF	Stopira Pina	Cabo Verde	22	28	25	0	25.7528	332	International	30
DEF	Baba Okafor	Ghana	24	27	25	0	25.7527	333	International	35
DEF	Otto Lyberth	Greenland	28	28	23	0	25.7328	334	America	26
DEF	Mauricio Argueta	El Salvador	20	24	28	0	25.61573333	335	America	32
DEF	Boris Ristov	Macedonia	23	27	25	0	25.58603333	336	Europe	28
DEF	Cheikh Diagne	Senegal	20	28	25	0	25.41946667	337	International	35
DEF	Jonathan Qumbor	Palestine	22	33	21	0	25.37996667	338	Mediterranean	31
DEF	Aitor Cabrera	Spain	0	24	34	0	25.3424	339	Mediterranean	28
DEF	Melvin Adrien	Madagascar	20	29	24	0	25.2429	340	International	29
DEF	Konstantin Anastasiou	Greece	32	29	20	0	25.2029	341	Mediterranean	26
DEF	Robert Oehri	Liechtenstein	25	21	27	0	24.93876667	342	Europe	25
DEF	Moussa Yameogo	Burkina Faso	23	31	21	0	24.87976667	343	International	27
DEF	Aidil Ahmad	Malaysia	25	30	21	0	24.87966667	344	International	25
DEF	Hamza Al-Dardour	Jordan	22	33	20	0	24.86996667	345	Mediterranean	27
DEF	Himid Mao	Tanzania	24	22	26	0	24.59553333	346	International	34
DEF	Zaid Eid	Jordan	27	28	21	0	24.54613333	347	Mediterranean	29
