
============================== PRIME LEAGUE AUDIT ==============================

--- FWD RANKINGS (Efficiency + G/100) ---
Name                   | Rating | RRnk | Metric | MRnk | Net | Data
Pieter van Vliet       |  35.40 |   38 | 2.398 |   37 | +1  | G:5 A:6 S:40
Juan Apaza             |  30.87 |   44 | 2.380 |   38 | +6  | G:4 A:8 S:30
Yannick Barbier        |  37.87 |   28 | 2.369 |   39 | -11 | G:6 A:1 S:76
Johan Post             |  30.34 |   47 | 2.336 |   40 | +7  | G:2 A:8 S:48
Desmond Bonnet         |  35.92 |   37 | 2.331 |   41 | -4  | G:7 A:3 S:44
Zeljko Vukevic         |  38.14 |   24 | 2.281 |   42 | -18 | G:4 A:3 S:72
Federico Barella       |  35.35 |   39 | 2.264 |   43 | -4  | G:2 A:4 S:82
Vincent van de Velde   |  43.50 |    2 | 2.144 |   44 | -42 | G:7 A:2 S:42
Kalidou Koulibaly      |  39.93 |   17 | 2.139 |   45 | -28 | G:6 A:2 S:52
Luis Gallese           |  30.31 |   48 | 1.806 |   46 | +2  | G:5 A:3 S:32
Floyd Adebayor         |  30.60 |   46 | 1.793 |   47 | -1  | G:2 A:5 S:43
Ruben Schar            |  40.22 |   16 | 1.538 |   48 | -32 | G:2 A:2 S:56

--- DEF RANKINGS (Stops per 100% OppPoss) ---
Name                   | Rating | RRnk | Metric | MRnk | Net | Data
-----------------------------------------------------------------------------------------------
Craig Henderson        |  36.31 |   20 | 11.867 |    1 | +19 | S:157 OppPossUnits:13.23
Jeroen de Jong         |  37.29 |   14 | 11.346 |    2 | +12 | S:209 OppPossUnits:18.42
Clive Jones            |  41.26 |    8 | 11.251 |    3 | +5  | S:170 OppPossUnits:15.11
Jaime Riquelme         |  43.65 |    3 | 11.015 |    4 | -1  | S:204 OppPossUnits:18.52
Antonio Rudiger        |  44.30 |    2 | 10.582 |    5 | -3  | S:171 OppPossUnits:16.16
Gonzalo Machado        |  41.45 |    7 | 10.315 |    6 | +1  | S:157 OppPossUnits:15.22
Murray Campbell        |  32.36 |   31 | 10.151 |    7 | +24 | S:188 OppPossUnits:18.52
Krzysztof Sikora       |  38.25 |   12 | 10.120 |    8 | +4  | S:160 OppPossUnits:15.81
Vitor Correia          |  42.16 |    4 | 9.951 |    9 | -5  | S:141 OppPossUnits:14.17
Vu Hung Dung           |  32.25 |   36 | 9.933 |   10 | +26 | S:148 OppPossUnits:14.90
Wilhelm Schafer        |  41.96 |    5 | 9.530 |   11 | -6  | S:144 OppPossUnits:15.11
Clive Moore            |  35.91 |   22 | 9.466 |   12 | +10 | S:140 OppPossUnits:14.79
Jean Gauthier          |  40.65 |   10 | 9.263 |   13 | -3  | S:137 OppPossUnits:14.79
Adrian Walsh           |  35.57 |   23 | 9.114 |   14 | +9  | S:142 OppPossUnits:15.58
Manfred Fischer        |  37.83 |   13 | 8.995 |   15 | -2  | S:128 OppPossUnits:14.23
Christian Janssen      |  44.81 |    1 | 8.870 |   16 | -15 | S:135 OppPossUnits:15.22
Geert Verhoeven        |  31.69 |   43 | 8.805 |   17 | +26 | S:129 OppPossUnits:14.65
Theo Tchouameni        |  41.78 |    6 | 8.801 |   18 | -12 | S:163 OppPossUnits:18.52
Declan Burke           |  32.26 |   35 | 8.587 |   19 | +16 | S:127 OppPossUnits:14.79
Esteban Maidana        |  32.73 |   30 | 8.454 |   20 | +10 | S:117 OppPossUnits:13.84
Mbaye Cisse            |  39.95 |   11 | 8.398 |   21 | -10 | S:119 OppPossUnits:14.17
Richard Lemaire        |  36.55 |   18 | 8.344 |   22 | -4  | S:130 OppPossUnits:15.58
Andritany Dimas        |  31.55 |   44 | 8.165 |   23 | +21 | S:113 OppPossUnits:13.84
Nigel Price            |  36.99 |   16 | 7.800 |   24 | -8  | S:111 OppPossUnits:14.23
Rene Chevalier         |  40.75 |    9 | 7.749 |   25 | -16 | S:116 OppPossUnits:14.97
Gavin Powell           |  34.16 |   26 | 7.749 |   26 | 0   | S:116 OppPossUnits:14.97
Gideon Seidu           |  32.29 |   33 | 7.677 |   27 | +6  | S:116 OppPossUnits:15.11
Hernando Orozco        |  37.07 |   15 | 7.627 |   28 | -13 | S:107 OppPossUnits:14.03
Hans Weber             |  34.25 |   25 | 7.590 |   29 | -4  | S:108 OppPossUnits:14.23
Claude Timmermans      |  32.35 |   32 | 7.492 |   30 | +2  | S:138 OppPossUnits:18.42
Karl Meier             |  32.79 |   28 | 7.348 |   31 | -3  | S:110 OppPossUnits:14.97
Ollie Rice             |  36.15 |   21 | 7.253 |   32 | -11 | S:113 OppPossUnits:15.58
Harry Souttar          |  30.85 |   48 | 7.181 |   33 | +15 | S:95 OppPossUnits:13.23
Benoit Rousseau        |  32.28 |   34 | 7.178 |   34 | 0   | S:116 OppPossUnits:16.16
Marcos Paz             |  31.53 |   45 | 7.128 |   35 | +10 | S:100 OppPossUnits:14.03
Ramon Medina           |  31.94 |   40 | 7.056 |   36 | +4  | S:99 OppPossUnits:14.03
Terence Kane           |  32.16 |   38 | 6.987 |   37 | +1  | S:99 OppPossUnits:14.17
Timothy Theate         |  36.47 |   19 | 6.958 |   38 | -19 | S:110 OppPossUnits:15.81
Manaraii Wagemann      |  31.94 |   39 | 6.958 |   39 | 0   | S:110 OppPossUnits:15.81
Martijn van den Berg   |  34.49 |   24 | 6.931 |   40 | -16 | S:112 OppPossUnits:16.16
Hiroshi Itakura        |  32.22 |   37 | 6.846 |   41 | -4  | S:102 OppPossUnits:14.90
Marcel Verhoeven       |  32.78 |   29 | 6.840 |   42 | -13 | S:126 OppPossUnits:18.42
Philip Gibson          |  31.37 |   46 | 6.689 |   43 | +3  | S:98 OppPossUnits:14.65
Trevor Shaw            |  33.54 |   27 | 6.505 |   44 | -17 | S:99 OppPossUnits:15.22
Darren King            |  36.66 |   17 | 6.280 |   45 | -28 | S:92 OppPossUnits:14.65
Young-gwon Hwang       |  31.91 |   41 | 6.242 |   46 | -5  | S:93 OppPossUnits:14.90
Moses Okeke            |  30.91 |   47 | 5.593 |   47 | 0   | S:74 OppPossUnits:13.23
Denis Kizito           |  31.80 |   42 | 5.347 |   48 | -6  | S:74 OppPossUnits:13.84

--- GK RANKINGS (Save %) ---
Name                   | Rating | RRnk | Metric | MRnk | Net | Data
-----------------------------------------------------------------------------------------------
Stephen Hunt           |  42.44 |    3 | 0.710 |    1 | +2  | Svs:125 GA:51
Jiri Novakova          |  47.70 |    1 | 0.707 |    2 | -1  | Svs:106 GA:44
Sven Sjoberg           |  40.24 |    7 | 0.697 |    3 | +4  | Svs:124 GA:54
Eddy van den Broeck    |  38.82 |   11 | 0.678 |    4 | +7  | Svs:116 GA:55
Radu Dragomir          |  41.01 |    5 | 0.667 |    5 | 0   | Svs:102 GA:51
Vicente Acuna          |  38.22 |   12 | 0.661 |    6 | +6  | Svs:117 GA:60
Jose Lopes             |  42.63 |    2 | 0.661 |    7 | -5  | Svs:109 GA:56
Mario Morales          |  37.61 |   13 | 0.642 |    8 | +5  | Svs:86 GA:48
Pierre Blanchard       |  42.43 |    4 | 0.635 |    9 | -5  | Svs:108 GA:62
Marcel Kuiper          |  40.00 |    8 | 0.622 |   10 | -2  | Svs:74 GA:45
Wilmer Paz             |  37.37 |   14 | 0.601 |   11 | +3  | Svs:86 GA:57
Ekanit Yooyen          |  40.64 |    6 | 0.594 |   12 | -6  | Svs:76 GA:52
Saïd Djaloud           |  33.34 |   15 | 0.589 |   13 | +2  | Svs:86 GA:60
Vicente Salazar        |  38.99 |   10 | 0.574 |   14 | -4  | Svs:78 GA:58
Kenneth Wright         |  39.80 |    9 | 0.555 |   15 | -6  | Svs:86 GA:69
Brahima Kamagate       |  33.30 |   16 | 0.554 |   16 | 0   | Svs:62 GA:50
