Team	League	Identity	Budget	Spent	Player Name	Position	Country	Rating	Cost
Thurston FC West	Prime	Control	193.0	192.46	Ramon Perdomo	MID	Uruguay	42.4435	29.07
Thurston FC West	Prime	Control	193.0	192.46	Thierry Payet	MID	France	41.733	25.33
Thurston FC West	Prime	Control	193.0	192.46	Conor O'Sullivan	FWD	Ireland	39.4133	20.9
Thurston FC West	Prime	Control	193.0	192.46	Patrick Murray	FWD	England	37.9321	18.81
Thurston FC West	Prime	Control	193.0	192.46	Vicente Salazar	GK	Ecuador	38.99	16.31
Thurston FC West	Prime	Control	193.0	192.46	Martijn van den Berg	DEF	Netherlands	34.4908	9.13
Thurston FC West	Prime	Control	193.0	192.46	Benoit Rousseau	DEF	France	32.2841	7.46
Eisenwald 1900	Prime	Defense	184.0	184.0	Sergio Baez	MID	Paraguay	41.4928	28.12
Eisenwald 1900	Prime	Defense	184.0	184.0	Valeriu Florea	FWD	Moldova	39.9426	24.39
Eisenwald 1900	Prime	Defense	184.0	184.0	Stuart Holmes	MID	England	40.7439	24.0
Eisenwald 1900	Prime	Defense	184.0	184.0	Carlos Acosta	FWD	Uruguay	39.1438	20.09
Eisenwald 1900	Prime	Defense	184.0	184.0	Radu Dragomir	GK	Romania	41.01	24.01
Eisenwald 1900	Prime	Defense	184.0	184.0	Rene Chevalier	DEF	France	40.748	19.03
Eisenwald 1900	Prime	Defense	184.0	184.0	Fabian Gomez	MID	Paraguay	37.6626	16.5
Eisenwald 1900	Prime	Defense	184.0	184.0	Gavin Powell	DEF	England	34.1574	9.36
Eisenwald 1900	Prime	Defense	184.0	184.0	Karl Meier	DEF	Germany	32.794	8.0
Askhatansa	Prime	Offense	179.0	178.88	Jean-Pierre de Clercq	FWD	Belgium	50.0048	62.69
Askhatansa	Prime	Offense	179.0	178.88	Neil Griffith	FWD	England	44.1943	40.17
Askhatansa	Prime	Offense	179.0	178.88	Vicente Acuna	GK	Argentina	38.22	15.08
Askhatansa	Prime	Offense	179.0	178.88	Peter Meijer	MID	Netherlands	36.6638	13.9
Askhatansa	Prime	Offense	179.0	178.88	Desmond Bonnet	MID	France	35.9229	12.79
Askhatansa	Prime	Offense	179.0	178.88	Roy Foster	MID	England	32.8723	8.88
Askhatansa	Prime	Offense	179.0	178.88	Vu Hung Dung	DEF	Vietnam	32.2454	6.5
Askhatansa	Prime	Offense	179.0	178.88	Hiroshi Itakura	DEF	Japan	32.2245	6.5
Askhatansa	Prime	Offense	179.0	178.88	Young-gwon Hwang	DEF	South Korea	31.9115	6.38
Cheicester City	Prime	Balanced	176.0	176.0	Olivier Rousseau	FWD	France	46.2048	46.26
Cheicester City	Prime	Balanced	176.0	176.0	Dominique Girard	FWD	France	39.4424	23.72
Cheicester City	Prime	Balanced	176.0	176.0	Jean Gauthier	DEF	France	40.6504	21.32
Cheicester City	Prime	Balanced	176.0	176.0	Marcel Kuiper	GK	Netherlands	40.0	21.18
Cheicester City	Prime	Balanced	176.0	176.0	Jeremie Frimpong	MID	Netherlands	37.9429	19.06
Cheicester City	Prime	Balanced	176.0	176.0	Elias Matsimbe	MID	Mozambique	36.9129	16.68
Cheicester City	Prime	Balanced	176.0	176.0	Clive Moore	DEF	England	35.9133	10.29
Cheicester City	Prime	Balanced	176.0	176.0	Declan Burke	DEF	Ireland	32.2553	8.0
Cheicester City	Prime	Balanced	176.0	176.0	Floyd Adebayor	MID	Togo	30.6021	6.5
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Jiri Novakova	GK	Czechia	47.7	43.56
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Manuel Castillo	FWD	Ecuador	37.1527	18.16
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Marcos Aguilar	FWD	El Salvador	36.922	17.77
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Amadou Onana	MID	Belgium	37.8239	17.65
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Krzysztof Sikora	DEF	Poland	38.2469	16.16
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Denis Chevalier	MID	France	36.1428	14.72
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Timothy Theate	DEF	Belgium	36.4713	13.46
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Manaraii Wagemann	DEF	Tahiti	31.9409	6.5
Barroclaugh Athletic	Prime	Defense	168.0	168.0	Jamie Price	MID	England	30.7637	8.0
Havenpoort FC	Prime	Control	164.0	164.0	Jacques Lemaire	MID	France	43.4731	34.03
Havenpoort FC	Prime	Control	164.0	164.0	Ruben Schar	MID	Switzerland	40.2228	24.24
Havenpoort FC	Prime	Control	164.0	164.0	Kalidou Koulibaly	MID	Senegal	39.9327	25.41
Havenpoort FC	Prime	Control	164.0	164.0	Alain Goossens	FWD	Belgium	37.4028	17.69
Havenpoort FC	Prime	Control	164.0	164.0	Mickael Caron	FWD	France	36.8541	16.28
Havenpoort FC	Prime	Control	164.0	164.0	Mario Morales	GK	Costa Rica	37.61	14.65
Havenpoort FC	Prime	Control	164.0	164.0	Esteban Maidana	DEF	Argentina	32.7258	6.7
Havenpoort FC	Prime	Control	164.0	164.0	Denis Kizito	DEF	Uganda	31.8037	6.5
Havenpoort FC	Prime	Control	164.0	164.0	Andritany Dimas	DEF	Indonesia	31.5492	6.5
Les Brasseurs	Prime	Defense	162.0	162.0	Craig Young	FWD	Wales	38.9034	21.53
Les Brasseurs	Prime	Defense	162.0	162.0	Sven Sjoberg	GK	Sweden	40.24	24.03
Les Brasseurs	Prime	Defense	162.0	162.0	Edmond Toska	FWD	Albania	37.1624	17.82
Les Brasseurs	Prime	Defense	162.0	162.0	Mitchell Duke	MID	Australia	37.9031	18.85
Les Brasseurs	Prime	Defense	162.0	162.0	Yannick Barbier	MID	France	37.8732	19.31
Les Brasseurs	Prime	Defense	162.0	162.0	Edwin Ruiz	MID	Colombia	37.4732	18.54
Les Brasseurs	Prime	Defense	162.0	162.0	Hernando Orozco	DEF	Colombia	37.0706	15.29
Les Brasseurs	Prime	Defense	162.0	162.0	Ramon Medina	DEF	Paraguay	31.9405	6.64
Les Brasseurs	Prime	Defense	162.0	162.0	Marcos Paz	DEF	Argentina	31.5296	6.5
Corsaires de Calais	Prime	Offense	154.0	153.79	Gerhard Muller	FWD	Germany	42.4436	34.91
Corsaires de Calais	Prime	Offense	154.0	153.79	Jan van Dijk	FWD	Netherlands	41.1931	30.89
Corsaires de Calais	Prime	Offense	154.0	153.79	Eddy van den Broeck	GK	Belgium	38.82	17.64
Corsaires de Calais	Prime	Offense	154.0	153.79	Ramos Marrero	MID	Cuba	36.1033	16.33
Corsaires de Calais	Prime	Offense	154.0	153.79	Richard Lemaire	DEF	France	36.5508	12.8
Corsaires de Calais	Prime	Offense	154.0	153.79	Ollie Rice	DEF	England	36.1481	12.18
Corsaires de Calais	Prime	Offense	154.0	153.79	Adrian Walsh	DEF	Ireland	35.5702	10.25
Corsaires de Calais	Prime	Offense	154.0	153.79	Johan Post	MID	Netherlands	30.3423	7.26
Corsaires de Calais	Prime	Offense	154.0	153.79	Luis Gallese	MID	Peru	30.3135	7.02
Stedham Journeymen	Prime	Control	151.0	150.43	Joao Pereira	FWD	Brazil	39.8747	26.58
Stedham Journeymen	Prime	Control	151.0	150.43	Eamon Murphy	MID	Ireland	38.9424	23.03
Stedham Journeymen	Prime	Control	151.0	150.43	Stefan Winter	MID	Germany	38.1934	20.29
Stedham Journeymen	Prime	Control	151.0	150.43	Mohamed Alaoui	FWD	Morocco	36.9026	17.24
Stedham Journeymen	Prime	Control	151.0	150.43	Wilmer Paz	GK	Honduras	37.37	14.45
Stedham Journeymen	Prime	Control	151.0	150.43	Pieter van Vliet	MID	Netherlands	35.4031	14.63
Stedham Journeymen	Prime	Control	151.0	150.43	Craig Henderson	DEF	Scotland	36.3056	11.28
Stedham Journeymen	Prime	Control	151.0	150.43	Moses Okeke	DEF	Nigeria	30.9109	6.04
Stedham Journeymen	Prime	Control	151.0	150.43	Harry Souttar	DEF	Australia	30.8522	6.39
Celtic Cross FC	Prime	Balanced	151.0	151.0	Colin Pugh	FWD	Wales	40.4525	28.76
Celtic Cross FC	Prime	Balanced	151.0	151.0	Marc Renard	MID	Belgium	39.5945	22.74
Celtic Cross FC	Prime	Balanced	151.0	151.0	Kenneth Wright	GK	Scotland	39.8	21.32
Celtic Cross FC	Prime	Balanced	151.0	151.0	Leslie Knight	FWD	England	37.364	19.55
Celtic Cross FC	Prime	Balanced	151.0	151.0	Darren King	DEF	Australia	36.6576	13.77
Celtic Cross FC	Prime	Balanced	151.0	151.0	Federico Barella	MID	Italy	35.3524	15.5
Celtic Cross FC	Prime	Balanced	151.0	151.0	Rob Brouwer	MID	Netherlands	33.0231	8.87
Celtic Cross FC	Prime	Balanced	151.0	151.0	Geert Verhoeven	DEF	Belgium	31.6858	7.96
Celtic Cross FC	Prime	Balanced	151.0	151.0	Philip Gibson	DEF	Papua New Guinea	31.3727	6.54
Imperiale Roma	Med	Balanced	202.0	202.0	Rodrigo de Jesus	DEF	Brazil	44.9947	30.39
Imperiale Roma	Med	Balanced	202.0	202.0	Ricardo de Los Santos	GK	Uruguay	44.7	30.75
Imperiale Roma	Med	Balanced	202.0	202.0	Felipe Contreras	FWD	Chile	41.9531	29.54
Imperiale Roma	Med	Balanced	202.0	202.0	Yuryi Melnyk	FWD	Ukraine	40.3846	26.42
Imperiale Roma	Med	Balanced	202.0	202.0	Kim Si-Yeon	MID	South Korea	41.2321	23.22
Imperiale Roma	Med	Balanced	202.0	202.0	Cristian Molina	DEF	Argentina	40.9344	19.35
Imperiale Roma	Med	Balanced	202.0	202.0	Shojae Cheshmi	DEF	Iran	38.62	15.82
Imperiale Roma	Med	Balanced	202.0	202.0	John Bugeja	MID	Malta	31.6322	8.0
Imperiale Roma	Med	Balanced	202.0	202.0	Evangelos Mylonas	MID	Greece	31.3435	8.0
Castellano Madrid	Med	Balanced	195.0	195.0	Carlos Pereira	MID	Portugal	44.7343	33.82
Castellano Madrid	Med	Balanced	195.0	195.0	Pavel Vesela	DEF	Czechia	44.3376	29.58
Castellano Madrid	Med	Balanced	195.0	195.0	Fatmir Dervishi	FWD	Albania	41.1834	27.56
Castellano Madrid	Med	Balanced	195.0	195.0	Ahmed Mansouri	GK	Algeria	43.02	25.26
Castellano Madrid	Med	Balanced	195.0	195.0	Francois Toussaint	FWD	Haiti	39.8941	22.73
Castellano Madrid	Med	Balanced	195.0	195.0	Henrik Mikkelsen	DEF	Denmark	40.3071	18.29
Castellano Madrid	Med	Balanced	195.0	195.0	Luan Murati	DEF	Albania	36.5997	12.48
Castellano Madrid	Med	Balanced	195.0	195.0	Pere Munoz	MID	Andorra	32.3526	8.28
Castellano Madrid	Med	Balanced	195.0	195.0	Felix Jradi	MID	Lebanon	32.0924	8.0
Al-Qahira FC	Med	Offense	192.0	192.0	Alvaro Chaves	FWD	Costa Rica	44.9834	43.22
Al-Qahira FC	Med	Offense	192.0	192.0	Ricardo Goncalves	FWD	Portugal	43.2133	38.57
Al-Qahira FC	Med	Offense	192.0	192.0	Josef Steiner	MID	Austria	39.4029	21.44
Al-Qahira FC	Med	Offense	192.0	192.0	Andres Rodriguez	DEF	Colombia	39.8168	16.81
Al-Qahira FC	Med	Offense	192.0	192.0	Neil Wright	GK	Wales	39.22	18.05
Al-Qahira FC	Med	Offense	192.0	192.0	Jose Quispe	DEF	Peru	38.4727	15.2
Al-Qahira FC	Med	Offense	192.0	192.0	Sherif Farouk	DEF	Egypt	36.3741	10.72
Al-Qahira FC	Med	Offense	192.0	192.0	Dejan Popovic	MID	Montenegro	32.0635	8.0
Al-Qahira FC	Med	Offense	192.0	192.0	Abdel Aziz Abid	MID	Morocco	31.8621	8.0
Fursan al-Arab	Med	Balanced	191.0	191.0	Joao Silva	FWD	Portugal	46.2339	46.67
Fursan al-Arab	Med	Balanced	191.0	191.0	Rafael Delgado	DEF	Spain	43.4847	27.06
Fursan al-Arab	Med	Balanced	191.0	191.0	Cesar Aguero	FWD	Argentina	40.2024	24.85
Fursan al-Arab	Med	Balanced	191.0	191.0	Sergio Gutierrez	GK	Mexico	41.23	22.42
Fursan al-Arab	Med	Balanced	191.0	191.0	Jose Romero	DEF	Spain	40.1405	18.71
Fursan al-Arab	Med	Balanced	191.0	191.0	Eduardo Vaca	DEF	Bolivia	39.3067	17.55
Fursan al-Arab	Med	Balanced	191.0	191.0	Amir Zare	MID	Iran	34.6237	11.74
Fursan al-Arab	Med	Balanced	191.0	191.0	Abdalla Eisa	MID	United Arab Emirates	32.0925	8.0
Fursan al-Arab	Med	Balanced	191.0	191.0	Rachid Tahiri	MID	Morocco	31.7926	8.0
Catalonia Gothic	Med	Control	180.0	180.0	Mario Sosa	MID	Croatia	41.9629	30.26
Catalonia Gothic	Med	Control	180.0	180.0	Albert Hall	FWD	Jamaica	40.9333	26.21
Catalonia Gothic	Med	Control	180.0	180.0	Arthur Kakuta	MID	Congo DR	40.733	26.38
Catalonia Gothic	Med	Control	180.0	180.0	Kyriacos Panayiotou	FWD	Cyprus	39.1632	21.62
Catalonia Gothic	Med	Control	180.0	180.0	Roberto Sosa	MID	Argentina	39.9835	23.75
Catalonia Gothic	Med	Control	180.0	180.0	Michele di Stefano	DEF	Italy	38.1201	15.23
Catalonia Gothic	Med	Control	180.0	180.0	Ljubomir Jovanovic	GK	Montenegro	37.77	14.26
Catalonia Gothic	Med	Control	180.0	180.0	Zuhair Hassan	DEF	Saudi Arabia	34.1869	8.3
Catalonia Gothic	Med	Control	180.0	180.0	Karim Mohamed	DEF	Tunisia	33.6473	8.0
Le Rocher Monaco	Med	Offense	176.0	175.6	Didier Diomande	FWD	Cote d'Ivoire	45.4933	44.82
Le Rocher Monaco	Med	Offense	176.0	175.6	Leandro Cordeiro	FWD	Brazil	45.2141	43.12
Le Rocher Monaco	Med	Offense	176.0	175.6	Alvaro Vazquez	MID	Spain	37.434	16.95
Le Rocher Monaco	Med	Offense	176.0	175.6	Salvatore Moretti	MID	Italy	37.2328	15.89
Le Rocher Monaco	Med	Offense	176.0	175.6	Enrique Ortega	GK	Spain	37.98	14.62
Le Rocher Monaco	Med	Offense	176.0	175.6	Alejandro Garcia	MID	Spain	36.0635	13.16
Le Rocher Monaco	Med	Offense	176.0	175.6	Mohamed Benyahia	DEF	Algeria	33.8632	8.44
Le Rocher Monaco	Med	Offense	176.0	175.6	Ilir Hoxha	DEF	Albania	33.3925	8.0
Le Rocher Monaco	Med	Offense	176.0	175.6	Bassel Haidar	DEF	Lebanon	33.2943	7.6
Barbary Apes	Med	Defense	176.0	176.0	Klaus Bauer	GK	Germany	45.25	37.65
Barbary Apes	Med	Defense	176.0	176.0	Mustapha Hakimi	MID	Morocco	40.4334	23.69
Barbary Apes	Med	Defense	176.0	176.0	Svein Berg	FWD	Norway	38.4032	21.59
Barbary Apes	Med	Defense	176.0	176.0	Tahnoon Ramadan	FWD	United Arab Emirates	37.8836	19.75
Barbary Apes	Med	Defense	176.0	176.0	Ramazan Yilmaz	DEF	Turkey	39.4634	19.01
Barbary Apes	Med	Defense	176.0	176.0	Jovan Trajkovic	MID	Serbia	37.9132	16.91
Barbary Apes	Med	Defense	176.0	176.0	Med Mansour	MID	Tunisia	35.1228	12.41
Barbary Apes	Med	Defense	176.0	176.0	Abdel Allah	DEF	Jordan	33.6964	8.0
Barbary Apes	Med	Defense	176.0	176.0	Amar Touati	DEF	Algeria	33.4124	8.0
Olympias Athena	Med	Defense	168.0	168.0	Luis Aguirre	GK	Argentina	43.07	30.03
Olympias Athena	Med	Defense	168.0	168.0	Thomas Martin	FWD	Australia	39.6343	23.88
Olympias Athena	Med	Defense	168.0	168.0	Slobodan Kovacevic	FWD	Bosnia and Herzegovina	38.3644	21.57
Olympias Athena	Med	Defense	168.0	168.0	Aissa Bounedjah	MID	Algeria	37.3934	17.37
Olympias Athena	Med	Defense	168.0	168.0	Huseyin Sahin	MID	Turkey	37.3826	18.4
Olympias Athena	Med	Defense	168.0	168.0	Alidu Mensah	MID	Ghana	35.903	14.87
Olympias Athena	Med	Defense	168.0	168.0	Arthur Coelho	DEF	Brazil	36.737	14.54
Olympias Athena	Med	Defense	168.0	168.0	Ali Al-Ahbabi	DEF	United Arab Emirates	35.7465	10.34
Olympias Athena	Med	Defense	168.0	168.0	Savvas Constantinou	DEF	Cyprus	33.03	8.0
Bosphorus Blue	Med	Control	164.0	162.62	Giovanni Rossi	FWD	Italy	42.6646	34.06
Bosphorus Blue	Med	Control	164.0	162.62	Roberjt Grgic	MID	Croatia	42.9042	30.61
Bosphorus Blue	Med	Control	164.0	162.62	Petr Navratil	MID	Czechia	39.6435	24.73
Bosphorus Blue	Med	Control	164.0	162.62	Hilal Maatouk	FWD	Lebanon	37.3543	16.71
Bosphorus Blue	Med	Control	164.0	162.62	Gabriel Magalhaes	MID	Brazil	37.6533	19.39
Bosphorus Blue	Med	Control	164.0	162.62	Rabih El Zein	GK	Lebanon	34.56	10.0
Bosphorus Blue	Med	Control	164.0	162.62	Salaah Al-Yahyaei	DEF	Oman	32.7063	8.0
Bosphorus Blue	Med	Control	164.0	162.62	Faisal Almarri	DEF	Qatar	32.0788	7.75
Bosphorus Blue	Med	Control	164.0	162.62	Ebrahim Al-Aswad	DEF	Bahrain	32.0	6.87
Visconti Serpents	Med	Offense	161.0	160.09	Sergio Alves	MID	Portugal	45.9938	39.96
Visconti Serpents	Med	Offense	161.0	160.09	Manoel Ribiero	FWD	Brazil	44.4832	43.19
Visconti Serpents	Med	Offense	161.0	160.09	Mehdi Khalil	FWD	Lebanon	39.1341	25.4
Visconti Serpents	Med	Offense	161.0	160.09	Reza Jafari	GK	Iran	35.34	10.95
Visconti Serpents	Med	Offense	161.0	160.09	Marcelo Majer	DEF	Croatia	32.9026	8.0
Visconti Serpents	Med	Offense	161.0	160.09	Shahid Khan	MID	Saudi Arabia	31.3034	7.85
Visconti Serpents	Med	Offense	161.0	160.09	Georges Béaruné	MID	New Caledonia	31.1222	6.65
Visconti Serpents	Med	Offense	161.0	160.09	Ammar Sabbag	DEF	Syria	32.0097	6.5
Visconti Serpents	Med	Offense	161.0	160.09	Joe Waine	DEF	New Zealand	31.8433	7.09
Lisbon United	Med	Control	154.0	154.0	Giovanni Ricci	FWD	Italy	39.4327	24.45
Lisbon United	Med	Control	154.0	154.0	Marcelo da Silva	MID	Brazil	40.2536	26.3
Lisbon United	Med	Control	154.0	154.0	Sergio Martino	FWD	Italy	37.9224	19.31
Lisbon United	Med	Control	154.0	154.0	Francesco Caruso	DEF	Italy	39.4831	19.03
Lisbon United	Med	Control	154.0	154.0	Gerardo Perez	MID	Uruguay	38.3632	20.91
Lisbon United	Med	Control	154.0	154.0	Pedro Huaman	GK	Peru	37.21	14.35
Lisbon United	Med	Control	154.0	154.0	Stjepan Novosel	DEF	Croatia	34.8055	9.15
Lisbon United	Med	Control	154.0	154.0	Dimitrios Papadopoulos	DEF	Greece	32.5492	7.71
Lisbon United	Med	Control	154.0	154.0	German Salazar	MID	Colombia	31.2836	6.79
Lions of Carthage	Med	Offense	150.0	149.38	Niko Lovric	FWD	Croatia	45.724	47.3
Lions of Carthage	Med	Offense	150.0	149.38	Ivica Vidovic	FWD	Croatia	43.6844	38.89
Lions of Carthage	Med	Offense	150.0	149.38	Amr Shehab	GK	Palestine	36.6	12.76
Lions of Carthage	Med	Offense	150.0	149.38	Giuseppe Giordano	DEF	Italy	36.0997	11.05
Lions of Carthage	Med	Offense	150.0	149.38	Shabaib Al-Dhefiri	DEF	Kuwait	32.157	7.12
Lions of Carthage	Med	Offense	150.0	149.38	Moulaye Guidileye	MID	Mauritania	31.1027	7.38
Lions of Carthage	Med	Offense	150.0	149.38	Ahmed Salah	DEF	Egypt	31.9122	7.07
Lions of Carthage	Med	Offense	150.0	149.38	Arshad Yadav	MID	Qatar	30.8527	8.22
Lions of Carthage	Med	Offense	150.0	149.38	Komail Al-Aswad	MID	Bahrain	30.8227	8.09
Najm al-Bayda	Med	Balanced	148.0	146.92	Dario Blanco	FWD	Argentina	40.7123	29.65
Najm al-Bayda	Med	Balanced	148.0	146.92	Vicente Garcia	FWD	Spain	38.4323	21.27
Najm al-Bayda	Med	Balanced	148.0	146.92	Mario Appindangoyé	GK	Gabon	38.01	18.14
Najm al-Bayda	Med	Balanced	148.0	146.92	Teboho Tau	MID	South Africa	36.2327	16.0
Najm al-Bayda	Med	Balanced	148.0	146.92	Walid Harit	MID	Morocco	35.8525	14.33
Najm al-Bayda	Med	Balanced	148.0	146.92	Jefferson Uribe	DEF	Colombia	36.7073	14.65
Najm al-Bayda	Med	Balanced	148.0	146.92	Mehmet Celik	DEF	Turkey	35.6776	11.97
Najm al-Bayda	Med	Balanced	148.0	146.92	Hassan Ataya	MID	Lebanon	31.0627	8.0
Najm al-Bayda	Med	Balanced	148.0	146.92	Victor-Manuel Aguilar	DEF	Spain	31.6193	6.92
Alexandria Faros	Med	Control	141.0	141.0	Patricio Torres	MID	Chile	41.4632	28.87
Alexandria Faros	Med	Control	141.0	141.0	Ali Mousavi	FWD	Iran	37.4125	19.36
Alexandria Faros	Med	Control	141.0	141.0	Alvaro Viera	MID	Uruguay	38.4028	21.55
Alexandria Faros	Med	Control	141.0	141.0	Freddy Lopez	FWD	Venezuela	36.3733	15.92
Alexandria Faros	Med	Control	141.0	141.0	German Arias	GK	Colombia	36.94	14.22
Alexandria Faros	Med	Control	141.0	141.0	Amine Ounahi	DEF	Morocco	35.1094	10.5
Alexandria Faros	Med	Control	141.0	141.0	Gian Selva	DEF	San Marino	34.5694	8.58
Alexandria Faros	Med	Control	141.0	141.0	Zlatko Novak	DEF	Croatia	32.579	8.0
Alexandria Faros	Med	Control	141.0	141.0	Agustin Lara	MID	Spain	30.6021	8.0
Damascus Steel	Med	Defense	138.0	138.0	Ahmed Saleh	GK	Oman	40.43	23.53
Damascus Steel	Med	Defense	138.0	138.0	Yusuf Guler	FWD	Turkey	36.6428	18.1
Damascus Steel	Med	Defense	138.0	138.0	Salah Saidi	FWD	Algeria	36.3927	16.17
