Team	Player	SH	SG	GL
NOR	Kjell Nilsen	21	9	2
SCO	Ian Murray	21	11	4
SWE	Nils Pettersson	16	4	0
GRE	Georgios Nikolaidis	33	18	3
SVK	Stefan Takac	22	10	1
LIT	Arvydas Vasiliauskas	23	8	3
MON	Danilo Milosevic	16	5	2
MOL	Serghei Cojocari	32	15	3
EST	Andrei Kaasik	27	12	3
BUL	Iliya Dimitrov	32	12	5
MAC	Gjorgji Cvetkovska	17	7	1
NIR	Gareth Mulholland	28	11	4
BEL	Mikhail Pashkevich	22	6	2
LAT	Janis Berzins	30	12	3
KOS	Sanije Bytyqi	30	15	8
CYP	Christos Kyprianou	14	6	1
LIE	Georg Gstohl	28	11	1
SMR	Massimo Zafferani	24	9	2
MAL	Kenneth Spiteri	27	12	6
AND	Carles Vidal	21	5	3
LUX	Marc Nilles	36	11	2
GIB	Christian Perera	20	11	3
FRO	Jogvan Hentze	37	13	9
VAT	Friedli Polisca	24	10	7
GER	Jurgen Richter	13	7	2
FRA	Jacques Lemaire	17	8	5
BEL	Vincent van de Velde	24	10	1
POR	Carlos Pereira	12	7	4
CRO	Franja Blazevic	20	9	2
ESP	Alvaro Vazquez	20	7	1
ENG	Benjamin Webb	22	12	6
NED	Rob Brouwer	13	3	0
CZE	Petr Navratil	13	8	5
DEN	Soren Holm	24	6	3
SER	Jovan Trajkovic	20	9	2
ITA	Pietro Greco	16	8	1
HUN	Istvan Kiss	12	5	3
AUS	Josef Steiner	19	9	2
WAL	Malcolm Hopkins	16	6	2
SUI	Werner Frei	20	9	1
POL	Jacek Majewski	15	5	2
UKR	Vasylyi Yvanova	12	6	3
TUR	Huseyin Sahin	8	1	1
BOS	Milan Marjanovic	32	12	4
ALB	Arben Sulaj	18	6	0
SVN	Marjan Krajnc	14	7	4
IRE	Eamon Murphy	22	15	7
ROM	Gheorghe Cristea	29	14	0
FIN	Ari Korhonen	18	8	2
ICE	Kristjan Jonsson	14	5	0
NOR	Geir Gundersen	10	6	1
SCO	Charles Stewart	23	7	4
SWE	Anders Lindstrom	9	3	0
GRE	Evangelos Mylonas	11	5	2
SVK	Jan Horvath	18	6	2
LIT	Algimantas Zilinskas	16	5	0
MON	Dejan Popovic	18	4	1
MOL	Constantin Prodan	16	6	1
EST	Dmitri Kivi	20	6	2
BUL	Stefan Todorov	13	4	2
MAC	Jovan Stojanovski	22	10	3
NIR	Francis O'Hagan	14	5	0
BEL	Yuriy Shevchenko	18	9	4
LAT	Sergejs Vasiljevs	8	5	1
KOS	Ismet Hasani	13	8	5
CYP	Georgios Christofi	17	7	3
LIE	Franz Ospelt	13	4	0
SMR	Fabio Gasperoni	16	7	1
MAL	Pierre Micallef	23	8	3
AND	Xavier Gomes	14	5	0
LUX	Laurent Schroeder	12	3	1
GIB	David Santos	16	8	2
FRO	Heri Rasmussen	12	5	1
VAT	Paolo Cameroni	20	7	1
GER	Wolfgang Koch	16	8	3
FRA	Bernard Michel	20	9	5
BEL	Marc Renard	20	10	4
POR	Sergio Alves	20	3	0
CRO	Roberjt Grgic	12	4	1
ESP	Alejandro Garcia	21	5	2
ENG	Stuart Holmes	16	3	3
NED	Peter Meijer	13	6	2
CZE	Michal Fialova	18	5	1
DEN	Morten Rasmussen	12	6	1
SER	Zoran Ilic	19	4	0
ITA	Salvatore Moretti	11	7	0
HUN	Zoltan Kocsis	15	3	1
AUS	Johann Brunner	28	11	3
WAL	Adrian Llewellyn	17	5	1
SUI	Stefan Meier	22	9	2
POL	Andrzej Nowak	12	3	1
UKR	Vyktor Kovalenko	18	4	1
TUR	Omer Koc	17	7	3
BOS	Zeljko Vukevic	14	4	1
ALB	Agron Lleshi	14	5	0
SVN	Branko Novac	10	3	2
IRE	Philip Murray	15	6	4
ROM	Valentin Ionescu	23	9	5
FIN	Jani Rasanen	11	3	3
ICE	Helgi Magnusson	8	4	1
NOR	Jan Johansen	13	3	3
SCO	Thomas Anderson	18	4	1
SWE	Fredrik Johansson	14	4	1
GRE	Stavros Giannopoulos	15	7	2
SVK	Juraj Szabo	13	5	1
LIT	Arturas Jankauskas	14	6	1
MON	Slobodan Scekic	11	5	2
MOL	Anatolie Rotari	28	21	6
EST	Aleksandr Kallas	25	9	2
BUL	Emil Petrov	10	3	1
MAC	Stojan Petrovska	23	12	5
NIR	Hugh McAuley	15	7	1
BEL	Vadim Tarasevich	11	6	3
LAT	Valerijs Priede	9	3	0
KOS	Bajram Sylejmani	12	7	1
CYP	Demetris Nicolaou	10	5	1
LIE	Michael Biedermann	14	5	1
SMR	Francesco Berardi	16	3	1
MAL	John Bugeja	17	5	1
AND	Pere Munoz	8	4	2
LUX	Pascal Ferreira	19	9	3
GIB	Chris Moreno	7	3	1
FRO	Danjal Hojgaard	12	4	3
VAT	Enrico Mariotti	21	9	3
GER	Hans Weber	2	1	1
FRA	Rene Chevalier	4	2	0
BEL	Geert Verhoeven	4	0	0
POR	Fernando Ribiero	5	1	1
CRO	Stjepan Novosel	2	2	1
ESP	Rafael Delgado	5	0	0
ENG	Graham Chapman	5	3	0
NED	Jeroen de Jong	5	1	0
CZE	Miroslav Svoboda	7	2	0
DEN	Henrik Mikkelsen	12	4	2
SER	Petar Stojanovic	8	2	2
ITA	Giuseppe Giordano	8	3	1
HUN	Laszlo Kovacs	8	2	1
AUS	Andreas Schwarz	5	1	0
WAL	Rhys Howells	1	1	1
SUI	Marcel Roth	11	4	2
POL	Krzysztof Sikora	5	1	0
UKR	Nykolai Moroz	18	7	0
TUR	Mehmet Celik	10	5	2
BOS	Marko Bosnjak	6	2	1
ALB	Ilir Hoxha	10	3	2
SVN	Anton Zupan	3	1	0
IRE	Adrian Walsh	3	1	0
ROM	Cosmin Simion	10	6	2
FIN	Heikki Laine	0	0	0
ICE	Johann Gunnarsson	1	1	0
NOR	Arne Hagen	8	1	0
SCO	Stephen MacDonald	9	4	1
SWE	Lars Jonsson	6	1	0
GRE	Dimitrios Papadopoulos	5	2	2
SVK	Ladislav Kovac	8	3	1
LIT	Darius Balciunas	2	1	0
MON	Milan Mitrovic	2	0	0
MOL	Vasile Cazacu	6	3	1
EST	Juri Sepp	8	4	0
BUL	Petar Hristov	3	0	0
MAC	Petre Nikolov	6	2	2
NIR	Colin Campbell	6	0	0
BEL	Evgeniy Novikov	7	3	0
LAT	Andrejs Jansone	9	3	1
KOS	Enver Rexhepi	10	3	1
CYP	Savvas Constantinou	3	2	1
LIE	Robert Oehri	8	2	1
SMR	Giuseppe Ceccoli	7	1	0
MAL	Patrick Cassar	6	3	1
AND	Emilio Perez	4	1	0
LUX	Rene Weis	6	2	0
GIB	Stephen Cruz	8	3	1
FRO	Rogvi Thomsen	4	1	0
VAT	Angelo Giulietti	11	4	1
GER	Manfred Fischer	4	1	1
FRA	Jean Gauthier	5	3	0
BEL	Christian Janssen	8	4	2
POR	Vitor Correia	9	1	0
CRO	Zlatko Novak	4	2	0
ESP	Jose Romero	5	0	0
ENG	Nigel Price	7	5	1
NED	Martijn van den Berg	7	2	1
CZE	Pavel Vesela	3	3	2
DEN	Jesper Thomsen	4	0	0
SER	Slobodan Krstic	6	1	1
ITA	Francesco Caruso	3	0	0
HUN	Jozsef Szabo	1	0	0
AUS	Gerhard Bauer	5	2	0
WAL	Clive Jones	5	2	0
SUI	Rolf Bachmann	8	3	0
POL	Tomasz Zajac	5	4	0
UKR	Aleksandr Olyinyk	9	4	1
TUR	Ramazan Yilmaz	14	5	1
BOS	Ilija Hodzic	6	3	0
ALB	Luan Murati	8	3	1
SVN	Bojan Kavcic	5	2	0
IRE	Declan Burke	4	3	1
ROM	Liviu Ciobanu	8	4	2
FIN	Timo Ojala	6	3	1
ICE	Arni Olafsson	5	2	0
NOR	Erik Olsen	9	0	0
SCO	Craig Henderson	5	2	1
SWE	Karl Olsson	10	2	1
GRE	Konstantin Anastasiou	8	3	1
SVK	Pavol Toth	12	6	1
LIT	Tomas Ramanauskas	7	3	0
MON	Branislav Maras	5	3	1
MOL	Grigore Ceban	1	1	0
EST	Peeter Ots	2	2	1
BUL	Veselin Ivanov	3	2	1
MAC	Boris Ristov	3	1	1
NIR	Terence Kane	7	6	2
BEL	Denis Zaytsev	3	0	0
LAT	Gunars Smirnovs	7	5	3
KOS	Fatmir Salihu	14	7	1
CYP	Ioannis Andreou	2	0	0
LIE	Daniel Wohlwend	6	2	1
SMR	Gian Selva	5	2	0
MAL	Luke Gatt	5	2	1
AND	Rafael Jimenez	3	2	0
LUX	Lucien Grethen	5	0	0
GIB	Andrew Sene	6	3	1
FRO	Jens Niclasen	7	4	3
VAT	Giampiero Suriani	6	2	0
	
Team	Player	SV	SO	GA
GER	Klaus Bauer	25	36	11
FRA	Pierre Blanchard	26	30	4
BEL	Eddy van den Broeck	32	44	12
POR	Pedro Reis	24	37	13
CRO	Miroslav Pavlovic	23	33	10
ESP	Enrique Ortega	28	39	11
ENG	Stephen Hunt	24	31	7
NED	Marcel Kuiper	21	29	8
CZE	Jiri Novakova	21	32	11
DEN	Jens Clausen	25	32	7
SER	Tomislav Rakic	28	37	9
ITA	Antonio de Luca	22	30	8
HUN	Janos Meszaros	30	47	17
AUS	Martin Lang	33	42	9
WAL	Neil Wright	25	42	17
SUI	Markus Schneider	21	28	7
POL	Piotr Nowicki	15	28	13
UKR	Serhei Tkachenko	34	41	7
TUR	Ahmet Ozcan	20	31	11
BOS	Slavko Maric	32	41	9
ALB	Sokol Gjoka	28	38	10
SVN	Andrej Kos	17	27	10
IRE	Oliver O'Donnell	20	33	13
ROM	Radu Dragomir	46	64	18
FIN	Eero Salo	33	46	13
ICE	Bjorn Halldorsson	22	42	20
NOR	Lars Pedersen	28	32	4
SCO	Kenneth Wright	30	46	16
SWE	Sven Sjoberg	28	40	12
GRE	Ilias Vasileiadis	21	36	15
SVK	Miroslav Balaz	26	41	15
LIT	Stasys Petrauskas	35	43	8
MON	Ljubomir Jovanovic	34	45	11
MOL	Igor Turcan	36	54	18
EST	Aleksandr Oja	24	36	12
BUL	Krasimi Georgiev	28	41	13
MAC	Zoran Atanasov	37	50	13
NIR	Cieran McCormick	35	50	15
BEL	Maksim Zhuk	34	46	12
LAT	Edgars Ozolins	38	54	16
KOS	Valon Gashi	32	52	20
CYP	Marios Charalambous	36	51	15
LIE	Manfred Beck	24	38	14
SMR	Luca Tamagnini	22	41	19
MAL	Lawrence Grech	40	62	22
AND	Sergi dos Santos	27	52	25
LUX	Francois Engel	31	41	10
GIB	Ian Ballester	31	46	15
FRO	Roi Joensen	29	43	14
VAT	Philippe Bergoglio	42	60	18
