Position	Name	Country	SH	SP	DF	GK
MID	Jacek Majewski	Poland	26	24	47	0
MID	Andrzej Nowak	Poland	29	34	44	0
DEF	Paweł Bednarek	Poland	31	35	29	0
DEF	Krzysztof Sikora	Poland	32	36	41	0
DEF	Tomasz Zajac	Poland	30	21	47	0
GK	Piotr Nowicki	Poland	0	0	23	39
FWD	Diego Perez	Argentina	47	24	0	0
FWD	Gustavo Suarez	Argentina	48	40	0	0
MID	Lisandro Romero	Argentina	31	50	37	0
MID	Roberto Sosa	Argentina	35	48	27	0
MID	Pedro Flores	Argentina	40	43	32	0
DEF	Cristian Molina	Argentina	26	44	43	0
DEF	Juan Acosta	Argentina	27	29	37	0
DEF	Oscar Gonzalez	Argentina	28	41	20	0
GK	Luis Aguirre	Argentina	0	0	25	47
FWD	Hernan Torres	Colombia	37	44	0	0
FWD	Orlando Cardona	Colombia	39	48	0	0
MID	Rafael Borré	Colombia	33	29	47	0
MID	Edwin Ruiz	Colombia	32	47	22	0
MID	Edgar Jimenez	Colombia	38	46	37	0
DEF	Jefferson Uribe	Colombia	27	40	37	0
DEF	Andres Rodriguez	Colombia	22	35	48	0
DEF	Javier Giraldo	Colombia	21	28	45	0
GK	German Arias	Colombia	0	0	47	34
FWD	Ivan Popova	Russia	42	36	0	0
FWD	Maksim Volkova	Russia	43	37	0	0
MID	Andrey Zaitsev	Russia	20	47	25	0
MID	Sergey Petrov	Russia	24	22	20	0
MID	Aleksandr Kuznetsov	Russia	29	38	22	0
DEF	Viktor Morozov	Russia	31	26	37	0
DEF	Vladimir Novikov	Russia	27	33	28	0
DEF	Pavel Ivanova	Russia	32	39	38	0
GK	Dmitriy Shevchenko	Russia	0	0	26	43
FWD	Mohammed Odoi	Ghana	47	36	0	0
FWD	Jordan Amartey	Ghana	43	35	0	0
MID	Alidu Mensah	Ghana	30	40	32	0
MID	Salisu Abdul Samed	Ghana	35	45	22	0
MID	Antoine Semenyo	Ghana	39	24	33	0
DEF	Gideon Seidu	Ghana	25	40	29	0
DEF	Ernest Nuamah	Ghana	28	32	34	0
DEF	Baba Okafor	Ghana	24	27	25	0
GK	Inaki Kudus	Ghana	0	0	26	38
FWD	Ali Mousavi	Iran	41	25	0	0
FWD	Hassan Mohammadi	Iran	34	39	0	0
MID	Rouzbeh Ezatolahi	Iran	32	21	32	0
MID	Amir Zare	Iran	37	37	26	0
MID	Saeed Sadeghi	Iran	33	22	44	0
DEF	Shojae Cheshmi	Iran	28	33	45	0
DEF	Hamid Bagheri	Iran	31	38	33	0
DEF	Seyyed Ghasemi	Iran	34	21	26	0
GK	Reza Jafari	Iran	0	0	39	34
FWD	Yuryi Melnyk	Ukraine	38	46	0	0
FWD	Anatolyi Pavlenko	Ukraine	39	20	0	0
MID	Vitaliy Zabarnyi	Ukraine	29	45	35	0
MID	Vasylyi Yvanova	Ukraine	32	49	20	0
MID	Vyktor Kovalenko	Ukraine	35	40	38	0
DEF	Illia Mykolenko	Ukraine	30	35	26	0
DEF	Nykolai Moroz	Ukraine	35	28	45	0
DEF	Aleksandr Olyinyk	Ukraine	39	24	46	0
GK	Serhei Tkachenko	Ukraine	0	0	24	40
FWD	Salah Saidi	Algeria	39	27	0	0
FWD	Abdel Dahmani	Algeria	32	42	0	0
MID	Aissa Bounedjah	Algeria	34	39	36	0
MID	Said Taleb	Algeria	38	40	26	0
MID	Ali Brahimi	Algeria	35	23	33	0
DEF	Farès Bensebaini	Algeria	28	31	25	0
DEF	Mohamed Benyahia	Algeria	29	32	36	0
DEF	Amar Touati	Algeria	27	24	41	0
GK	Ahmed Mansouri	Algeria	0	0	45	42
FWD	Giovanni Ricci	Italy	43	27	0	0
FWD	Giovanni Rossi	Italy	41	46	0	0
MID	Federico Barella	Italy	24	35	46	0
MID	Pietro Greco	Italy	25	21	33	0
MID	Salvatore Moretti	Italy	28	48	23	0
DEF	Giorgio Chellini	Italy	27	42	25	0
DEF	Giuseppe Giordano	Italy	25	30	43	0
DEF	Francesco Caruso	Italy	28	31	48	0
GK	Antonio de Luca	Italy	0	0	22	37
FWD	Richard van der Heijden	Netherlands	47	44	0	0
FWD	Jan van Dijk	Netherlands	44	31	0	0
MID	Jeremie Frimpong	Netherlands	29	44	33	0
MID	Rob Brouwer	Netherlands	31	27	46	0
MID	Peter Meijer	Netherlands	38	41	25	0
DEF	Nathan van de Ven	Netherlands	26	24	28	0
DEF	Jeroen de Jong	Netherlands	24	31	45	0
DEF	Martijn van den Berg	Netherlands	27	41	32	0
GK	Marcel Kuiper	Netherlands	0	0	38	40
FWD	Zaid Seyam	Palestine	33	35	0	0
FWD	Shehab Dabbagh	Palestine	32	34	0	0
MID	Yaser Wadi	Palestine	20	28	26	0
MID	Mahmoud Battat	Palestine	25	31	28	0
MID	Camilo Hamada	Palestine	26	29	33	0
DEF	Jonathan Qumbor	Palestine	22	33	21	0
DEF	Musab Cantillana	Palestine	23	26	30	0
DEF	Tamer Hamed	Palestine	24	29	25	0
GK	Amr Shehab	Palestine	0	0	21	40
FWD	Chris Turner	New Zealand	30	38	0	0
FWD	Nick Young	New Zealand	28	34	0	0
MID	Nando Pijnaker	New Zealand	31	36	21	0
MID	Roger Simpson	New Zealand	27	20	23	0
MID	William Davies	New Zealand	32	44	36	0
DEF	Joe Waine	New Zealand	21	33	34	0
DEF	Kevin Singh	New Zealand	20	40	27	0
DEF	Murray Campbell	New Zealand	24	30	36	0
GK	Jason Watson	New Zealand	0	0	35	29
FWD	Juan Rivera	Peru	43	28	0	0
FWD	Raul Morales	Peru	41	20	0	0
MID	Luis Gallese	Peru	35	31	23	0
MID	Jaime Rojas	Peru	30	24	20	0
MID	Enrique Aguilar	Peru	40	26	33	0
DEF	Wilder Yotun	Peru	21	31	25	0
DEF	Jose Quispe	Peru	33	27	47	0
DEF	Javier Gonzales	Peru	28	24	41	0
GK	Pedro Huaman	Peru	0	0	20	41
FWD	Niko Lovric	Croatia	47	40	0	0
FWD	Ivica Vidovic	Croatia	43	44	0	0
MID	Mario Sosa	Croatia	29	46	45	0
MID	Franja Blazevic	Croatia	27	22	43	0
MID	Roberjt Grgic	Croatia	42	40	48	0
DEF	Marcelo Majer	Croatia	23	26	40	0
DEF	Stjepan Novosel	Croatia	21	22	47	0
DEF	Zlatko Novak	Croatia	24	23	41	0
GK	Miroslav Pavlovic	Croatia	0	0	21	43
FWD	Omar Al-Zubi	Jordan	36	22	0	0
FWD	Yazan Al-Khawaldeh	Jordan	34	26	0	0
MID	Noor Faisal	Jordan	26	20	21	0
MID	Bilal El-Qadah	Jordan	22	22	30	0
MID	Ibrahim Odeh	Jordan	27	26	25	0
DEF	Hamza Al-Dardour	Jordan	22	33	20	0
DEF	Zaid Eid	Jordan	27	28	21	0
DEF	Abdel Allah	Jordan	30	31	36	0
GK	Raed Khatib	Jordan	0	0	33	28
FWD	Rachim Azzizi	Egypt	35	24	0	0
FWD	Khalif Karam	Egypt	26	40	0	0
MID	Mostafa Hassan	Egypt	23	34	22	0
MID	Abo Samir	Egypt	25	39	32	0
MID	Hassan Elsayed	Egypt	27	23	43	0
DEF	Zizo Fathi	Egypt	21	30	45	0
DEF	Sherif Farouk	Egypt	23	41	37	0
DEF	Ahmed Salah	Egypt	22	22	41	0
GK	Omar Mady	Egypt	0	0	30	30
FWD	Nick Hamburger	United States	47	45	0	0
FWD	Lawrence Porter	United States	33	39	0	0
MID	Sawyer Marshall	United States	33	40	40	0
MID	Bailey Myers-Morgan	United States	34	45	36	0
MID	Casey Myers-Morgan	United States	30	38	45	0
DEF	Silas McBride	United States	29	36	47	0
DEF	Brandon Boyd	United States	26	33	34	0
DEF	Antonio Chavez	United States	30	25	48	0
GK	Victor Weaver	United States	0	0	37	43
FWD	Colin Pugh	Wales	45	25	0	0
FWD	Craig Young	Wales	40	34	0	0
MID	Kieffer Moore	Wales	27	24	25	0
MID	Malcolm Hopkins	Wales	29	37	31	0
MID	Adrian Llewellyn	Wales	39	45	40	0
DEF	Joe Davies	Wales	27	20	37	0
DEF	Rhys Howells	Wales	29	28	24	0
DEF	Clive Jones	Wales	33	43	42	0
GK	Neil Wright	Wales	0	0	26	42
FWD	Hector	Mexico	48	37	0	0
FWD	Guadalupe Moreno	Mexico	40	41	0	0
MID	Jorge Sanchez	Mexico	33	34	21	0
MID	Raul Ortiz	Mexico	32	45	41	0
MID	Carlos Torres	Mexico	37	32	28	0
DEF	Johan Vasquez	Mexico	27	29	38	0
DEF	Cesar Romero	Mexico	24	21	46	0
DEF	Jaime Hernandez	Mexico	25	30	24	0
GK	Sergio Gutierrez	Mexico	0	0	32	43
FWD	Mohamed Alaoui	Morocco	40	26	0	0
FWD	Nabil Karim	Morocco	30	20	0	0
MID	Walid Harit	Morocco	25	35	47	0
MID	Mustapha Hakimi	Morocco	34	43	40	0
MID	Rachid Tahiri	Morocco	26	29	42	0
DEF	Amine Ounahi	Morocco	22	27	44	0
DEF	Hicham El-Mostafa	Morocco	25	23	30	0
DEF	Mohammed El-Idrissi	Morocco	30	21	27	0
GK	Abdel Aziz	Morocco	0	0	23	36
FWD	Koji Suzuki	Japan	31	34	0	0
FWD	Akira Maeda	Japan	30	39	0	0
MID	Ko Kamada	Japan	32	43	35	0
MID	Hideo Ogawa	Japan	31	32	33	0
MID	Yukio Ono	Japan	33	29	29	0
DEF	Junya Ito	Japan	25	27	37	0
DEF	Hiroshi Itakura	Japan	36	45	22	0
DEF	Kenji Yamaguchi	Japan	35	38	30	0
GK	Tadashi Sato	Japan	0	0	36	40
FWD	Sherzod Usmanova	Uzbekistan	32	29	0	0
FWD	Ravshan Karimov	Uzbekistan	25	35	0	0
MID	Otabek Aliqulov	Uzbekistan	26	20	37	0
MID	Akmal Umarov	Uzbekistan	23	30	26	0
MID	Rustam Yuspov	Uzbekistan	28	24	29	0
DEF	Oston Urunov	Uzbekistan	20	27	34	0
DEF	Anvar Ibragimov	Uzbekistan	25	25	23	0
DEF	Timur Rakhimov	Uzbekistan	28	24	26	0
GK	Alisher Abudllayev	Uzbekistan	0	0	25	31
FWD	Scott Robinson	Canada	42	21	0	0
FWD	Joseph Clarke	Canada	45	24	0	0
MID	Cole Miller	Canada	22	26	37	0
MID	Edward Gauthier	Canada	27	47	32	0
MID	Marc Tremblay	Canada	23	46	20	0
DEF	Kamal Kone	Canada	24	36	20	0
DEF	Pierre Gagnon	Canada	21	44	23	0
DEF	Jacques Lavoie	Canada	22	45	33	0
GK	Tim Moore	Canada	0	0	33	35
FWD	Gerhard Muller	Germany	44	36	0	0
FWD	Helmut Lange	Germany	40	35	0	0
MID	Ilkay Gundogan	Germany	34	25	32	0
MID	Jurgen Richter	Germany	38	48	38	0
MID	Wolfgang Koch	Germany	41	50	44	0
DEF	Antonio Rudiger	Germany	33	46	46	0
DEF	Hans Weber	Germany	30	25	41	0
DEF	Manfred Fischer	Germany	29	24	49	0
GK	Klaus Bauer	Germany	0	0	44	45
FWD	Didier Diomande	Cote d'Ivoire	49	33	0	0
FWD	Koffi Kouassi	Cote d'Ivoire	32	35	0	0
MID	Simon Kossounou	Cote d'Ivoire	32	22	25	0
MID	Aka Dah	Cote d'Ivoire	34	38	32	0
MID	Moussa Amani	Cote d'Ivoire	31	33	36	0
DEF	Odilon Gradel	Cote d'Ivoire	26	27	44	0
DEF	Yao Sanogo	Cote d'Ivoire	27	30	31	0
DEF	Kouame Ouattara	Cote d'Ivoire	31	26	39	0
GK	Brahima Kamagate	Cote d'Ivoire	0	0	45	30
FWD	Alvaro Chaves	Costa Rica	48	34	0	0
FWD	Francisco Solano	Costa Rica	36	32	0	0
MID	Brandon Vargas	Costa Rica	32	40	41	0
MID	Gerardo Calvo	Costa Rica	28	22	29	0
MID	Jorge Quesada	Costa Rica	26	45	33	0
DEF	Jeyland Mitchell	Costa Rica	24	32	47	0
DEF	Juan Araya	Costa Rica	25	29	46	0
DEF	Manuel Castro	Costa Rica	21	22	37	0
GK	Mario Morales	Costa Rica	0	0	22	41
FWD	Karl Mayer	Austria	37	32	0	0
FWD	Franz Leitner	Austria	34	36	0	0
MID	Florian Gruber	Austria	24	27	37	0
MID	Josef Steiner	Austria	29	40	47	0
MID	Johann Brunner	Austria	28	22	40	0
DEF	Marcel Wagner	Austria	20	24	49	0
DEF	Andreas Schwarz	Austria	23	36	29	0
DEF	Gerhard Bauer	Austria	22	30	38	0
GK	Martin Lang	Austria	0	0	42	39
FWD	Olivier Rousseau	France	45	48	0	0
FWD	Dominique Girard	France	44	24	0	0
MID	Dayot Hernandez	France	32	48	35	0
MID	Jacques Lemaire	France	31	47	47	0
MID	Bernard Michel	France	36	50	33	0
DEF	Theo Tchouameni	France	28	44	44	0
DEF	Rene Chevalier	France	25	47	41	0
DEF	Jean Gauthier	France	23	37	48	0
GK	Pierre Blanchard	France	0	0	38	43
FWD	Francisco Espinola	Paraguay	35	28	0	0
FWD	Arnaldo Benitez	Paraguay	37	34	0	0
MID	Fabian Gomez	Paraguay	26	41	41	0
MID	Sergio Baez	Paraguay	28	49	38	0
MID	Hugo Villalba	Paraguay	31	30	40	0
DEF	Alejandro Romero	Paraguay	31	35	33	0
DEF	Ramon Medina	Paraguay	33	38	27	0
DEF	Felix Cardozo	Paraguay	35	33	35	0
GK	Alcides Cabrera	Paraguay	0	0	41	38
FWD	Andre Moussa	Cameroon	37	28	0	0
FWD	Jean Mengue	Cameroon	23	36	0	0
MID	Pierre Ngono	Cameroon	31	31	32	0
MID	Joseph Sali	Cameroon	21	20	23	0
DEF	Emmanuel Alhadji	Cameroon	22	27	34	0
DEF	Samuel Ngah	Cameroon	23	34	26	0
GK	Martin Hamadou	Cameroon	0	0	31	28
FWD	Geraldo Faife	Mozambique	34	42	0	0
FWD	Clesio Pelembe	Mozambique	25	26	0	0
MID	Luís Amade	Mozambique	22	27	42	0
MID	Elias Matsimbe	Mozambique	29	41	35	0
DEF	Zainadine Gaito	Mozambique	21	34	23	0
DEF	Reinildo Dove	Mozambique	26	31	39	0
GK	Filipe Bauque	Mozambique	0	0	33	31
FWD	Khaled Mounié	Benin	26	33	0	0
FWD	Steve Adénon	Benin	25	23	0	0
MID	Jordan Kiki	Benin	30	31	26	0
MID	Olivier Sessègnon	Benin	27	26	21	0
DEF	Saturnin Hountondji	Benin	22	25	20	0
DEF	Stéphane Dossou	Benin	20	21	37	0
GK	Jodel Poté	Benin	0	0	28	28
FWD	Felipe Bikoro	Equatorial Guinea	30	29	0	0
FWD	Josete Belima	Equatorial Guinea	29	32	0	0
MID	Basilio Obiang	Equatorial Guinea	24	31	28	0
MID	Emilio Anieboh	Equatorial Guinea	22	39	29	0
DEF	Pedro Nsue	Equatorial Guinea	21	34	32	0
DEF	Iban Ovono	Equatorial Guinea	24	28	33	0
GK	Carlos Akapo	Equatorial Guinea	0	0	24	30
FWD	Romain Fontaine	Madagascar	36	24	0	0
FWD	Thomas Mombris	Madagascar	33	31	0	0
MID	Lalaina Amada	Madagascar	26	33	27	0
MID	Jérôme Métanire	Madagascar	31	26	32	0
DEF	Ibrahim Razakanantenaina	Madagascar	22	36	36	0
DEF	Melvin Adrien	Madagascar	20	29	24	0
GK	Anicet Abel	Madagascar	0	0	38	31
FWD	Bruno Palun	Gabon	38	20	0	0
FWD	Pierre-Emerick Appindangoyé	Gabon	35	23	0	0
MID	Guelor Lemina	Gabon	32	22	27	0
MID	Didier Bouanga	Gabon	37	32	33	0
DEF	Aaron Kanga	Gabon	27	26	34	0
DEF	Denis Mfa Mezui	Gabon	32	33	22	0
GK	Mario Appindangoyé	Gabon	0	0	24	41
FWD	Mohamed Nashnush	Libya	34	34	0	0
FWD	Sanad Al-Tahir	Libya	29	27	0	0
MID	Saleh Elhouni	Libya	25	23	26	0
MID	Hamdou Saltou	Libya	23	28	28	0
DEF	Muaid Musrati	Libya	22	34	32	0
DEF	Ahmed Sabbou	Libya	27	25	30	0
GK	Ali Benali	Libya	0	0	24	31
FWD	Ben Ben Nabouhane	Comoros	37	30	0	0
FWD	Faïz Bachirou	Comoros	36	34	0	0
MID	El Fardou Abdou	Comoros	35	26	20	0
MID	Kassim Alhadhur	Comoros	28	27	43	0
DEF	Youssouf M'Changama	Comoros	23	33	32	0
DEF	Fouad Selemani	Comoros	24	30	40	0
GK	Saïd Djaloud	Comoros	0	0	29	34
FWD	Victor Kahata	Kenya	30	31	0	0
FWD	Lawrence Omolo	Kenya	34	32	0	0
MID	Johanna Timbe	Kenya	33	28	26	0
MID	Eric Olunga	Kenya	31	23	25	0
DEF	Michael Okumu	Kenya	23	31	29	0
DEF	Francis Matasi	Kenya	22	33	38	0
GK	David Ouma	Kenya	0	0	21	37
FWD	Lameck Mbesuma	Zambia	27	29	0	0
FWD	Patson Banda	Zambia	36	28	0	0
MID	Rainford Shonga	Zambia	31	27	32	0
MID	Stoppila Mwepu	Zambia	24	31	21	0
DEF	Enock Chama	Zambia	20	33	30	0
DEF	Justin Sakala	Zambia	23	23	20	0
GK	Collins Sunzu	Zambia	0	0	31	33
FWD	Ary Pereira	Angola	32	27	0	0
FWD	João Gomes	Angola	26	24	0	0
MID	Manuel Gonçalves	Angola	35	33	39	0
MID	Francisco Rodrigues	Angola	23	38	26	0
DEF	José André	Angola	22	29	29	0
DEF	Pedro Dos Santos	Angola	23	21	40	0
GK	Gelson Costa	Angola	0	0	25	33
FWD	Aishi Bocco	Tanzania	32	37	0	0
FWD	Thomas Kessy	Tanzania	29	35	0	0
MID	Hassan Ulimwengu	Tanzania	24	28	27	0
MID	Feisal Mtoni	Tanzania	31	31	34	0
DEF	Simon Samatta	Tanzania	21	37	33	0
DEF	Himid Mao	Tanzania	24	22	26	0
GK	John Msuva	Tanzania	0	0	23	22
FWD	Abdel Al-Hamami	Tunisia	33	27	0	0
FWD	Tarek El-Hadi	Tunisia	30	35	0	0
MID	Med Mansour	Tunisia	28	37	37	0
MID	Manel Trabelsi	Tunisia	33	28	29	0
DEF	Ali Cherif	Tunisia	22	20	37	0
DEF	Karim Mohamed	Tunisia	27	40	31	0
GK	Kamal Ben-Amor	Tunisia	0	0	27	30
FWD	Naby Kamano	Guinea	28	33	0	0
FWD	Issiaga Kamano	Guinea	26	21	0	0
MID	Ilaix Guirassy	Guinea	21	29	22	0
MID	Francois Bayo	Guinea	22	34	23	0
DEF	Aguibou Guilavogui	Guinea	21	29	28	0
DEF	Mohamed Diakhaby	Guinea	24	31	31	0
GK	Ilaix Kamano	Guinea	0	0	24	33
FWD	Issaka Maâzou	Niger	32	38	0	0
FWD	Amadou Sacko	Niger	34	37	0	0
MID	Kassaly Hainikoye	Niger	27	34	26	0
MID	Youssouf Daouda	Niger	32	21	36	0
DEF	Boubacar Adebayor	Niger	26	30	23	0
DEF	Abdoul Oumarou	Niger	31	39	33	0
GK	Dankwa Madjid	Niger	0	0	36	26
FWD	Samuel Bakambu	Congo DR	25	38	0	0
FWD	Yoane Masuaku	Congo DR	29	31	0	0
MID	Theo Masuaku	Congo DR	25	37	26	0
MID	Arthur Kakuta	Congo DR	30	48	35	0
DEF	Yannick Bongonda	Congo DR	22	42	25	0
DEF	Arthur Kayembe	Congo DR	24	34	38	0
GK	Yannick Bakambu	Congo DR	0	0	24	32
FWD	Emmanuel Lawson	Togo	25	32	0	0
FWD	Steve Agassa	Togo	31	24	0	0
MID	Floyd Adebayor	Togo	21	35	30	0
MID	Ihlas Mlapa	Togo	22	23	20	0
DEF	Kossi Bebou	Togo	20	33	23	0
DEF	Laba Ayité	Togo	23	36	34	0
GK	Matthieu Dossevi	Togo	0	0	33	36
FWD	El Hacen Abeid	Mauritania	30	26	0	0
FWD	Hassen Diakité	Mauritania	32	28	0	0
MID	Diallo El Id	Mauritania	26	34	35	0
MID	Moulaye Guidileye	Mauritania	27	35	26	0
DEF	Ismaël Houbeib	Mauritania	23	21	32	0
DEF	Bakary N'Diaye	Mauritania	26	25	22	0
GK	Aly Ba	Mauritania	0	0	34	35
FWD	Allan Mugerwa	Uganda	35	31	0	0
FWD	Moses Onyango	Uganda	30	36	0	0
MID	Emmanuel Okello	Uganda	27	32	34	0
MID	Joseph Ssekajja	Uganda	25	30	20	0
DEF	Robert Lwanga	Uganda	22	24	25	0
DEF	Denis Kizito	Uganda	25	37	30	0
GK	John Muwanga	Uganda	0	0	30	35
FWD	Modou Trawally	The Gambia	25	25	0	0
FWD	Musa Jagne	The Gambia	28	28	0	0
MID	Ebrima Sanneh	The Gambia	32	22	28	0
MID	Assan Barrow	The Gambia	24	33	23	0
DEF	Pa Marreh	The Gambia	23	37	21	0
DEF	Bubacarr Modou	The Gambia	27	21	25	0
GK	Hamza Jallow	The Gambia	0	0	27	31
FWD	Amir Abdalla	Sudan	36	29	0	0
FWD	Sharaf El Hadi	Sudan	37	37	0	0
MID	Fares Abdelrahman	Sudan	35	27	26	0
MID	Mohamed Shiboub	Sudan	34	30	24	0
DEF	Ramadan El Shigail	Sudan	21	30	30	0
DEF	Athar Kamal	Sudan	22	31	28	0
GK	Abuaagla Bakhit	Sudan	0	0	23	34
FWD	Hamid Koanda	Burkina Faso	34	21	0	0
FWD	Abdoul Lankoande	Burkina Faso	35	22	0	0
MID	Boukare Diallo	Burkina Faso	34	31	34	0
MID	Ousmane Nana	Burkina Faso	32	28	26	0
DEF	Zakaria Kabore	Burkina Faso	21	25	31	0
DEF	Moussa Yameogo	Burkina Faso	23	31	21	0
GK	Issa Sore	Burkina Faso	0	0	27	35
FWD	Bakary Guindo	Mali	30	24	0	0
FWD	Amadou Traore	Mali	28	35	0	0
MID	Oumar Sangare	Mali	20	23	32	0
MID	Sidiki Togola	Mali	23	30	34	0
DEF	Karim Djire	Mali	22	22	32	0
DEF	Dramane Bagayoko	Mali	25	23	21	0
GK	Sekou Kante	Mali	0	0	29	35
FWD	Ronwen Kekana	South Africa	26	46	0	0
FWD	Lyle Mokoena	South Africa	31	48	0	0
MID	Teboho Tau	South Africa	27	48	20	0
MID	Evidence Tau	South Africa	30	45	23	0
DEF	Siyanda Zwane	South Africa	24	39	36	0
DEF	Lyle Makgopa	South Africa	28	30	26	0
GK	Zakhele Makgopa	South Africa	0	0	31	35
FWD	Garry Mendes	Cabo Verde	35	20	0	0
FWD	Jovane Andrade	Cabo Verde	39	23	0	0
MID	Garry Santos	Cabo Verde	23	41	20	0
MID	Ryan Cabral	Cabo Verde	24	42	22	0
DEF	Stopira Pina	Cabo Verde	22	28	25	0
DEF	Kenny Costa	Cabo Verde	27	23	35	0
GK	Kenny Duarte	Cabo Verde	0	0	31	21
